"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1990","Astros","2279","6076","94","573","536","179","9.0 %","16.4 %",".103",".279",".242",".313",".345",".298","85","0.8","-104.8","-7.0","10.5"
"1998","Diamondbacks","2067","6116","159","665","621","73","8.0 %","20.3 %",".146",".290",".246",".314",".393",".311","82","-2.0","-140.7","54.3","10.4"
"2013","Twins","2332","6212","151","614","590","52","8.6 %","23.0 %",".138",".298",".242",".312",".380",".307","91","1.2","-66.1","-39.0","10.4"
"1993","Dodgers","2208","6261","130","675","639","126","7.9 %","15.0 %",".122",".291",".261",".321",".383",".314","92","1.2","-58.4","-59.1","10.4"
"2002","Indians","2236","6099","192","739","706","52","8.9 %","16.4 %",".163",".271",".249",".321",".412",".320","95","-12.3","-53.6","-50.4","10.4"
"2010","Indians","2255","6165","128","646","601","91","8.8 %","19.2 %",".130",".293",".248",".322",".378",".311","94","1.3","-40.7","-80.0","10.3"
"2005","Rockies","2302","6240","150","741","704","65","8.2 %","17.7 %",".144",".307",".267",".333",".411",".325","85","-10.7","-130.7","30.5","10.3"
"2003","Reds","2334","6211","182","694","669","80","8.4 %","21.3 %",".150",".289",".245",".318",".395",".312","84","10.4","-120.8","21.8","10.3"
"2018","Marlins","2434","6083","128","589","554","45","7.5 %","22.8 %",".119",".293",".237",".303",".357",".289","83","-15.8","-140.1","48.5","10.3"
"1999","Cubs","2273","6201","189","747","717","60","9.2 %","18.9 %",".163",".293",".257",".329",".420",".328","87","-7.8","-113.6","20.0","10.3"
"1994","Dodgers","1467","4371","115","532","505","74","8.4 %","15.7 %",".144",".300",".270",".333",".414",".327","100","-1.4","0.8","-38.9","10.3"
"2010","Royals","2190","6209","121","676","640","115","7.6 %","14.6 %",".126",".305",".274",".331",".399",".323","98","-28.4","-42.1","-81.0","10.3"
"2006","Devil Rays","2247","6041","190","689","650","134","7.3 %","18.3 %",".165",".285",".255",".314",".420",".316","89","1.9","-84.4","-19.0","10.3"
"2003","Dodgers","2292","6036","124","574","544","80","6.7 %","16.3 %",".125",".275",".243",".303",".368",".294","78","-10.2","-178.7","84.4","10.2"
"2012","Pirates","2360","6014","170","651","620","73","7.4 %","22.5 %",".152",".291",".243",".304",".395",".304","91","-0.3","-67.8","-16.0","10.2"
"2000","Rangers","1874","6364","173","848","806","69","9.1 %","14.5 %",".163",".310",".283",".352",".446",".347","97","-7.0","-37.4","-76.8","10.2"
"1990","Yankees","1821","6037","147","603","561","119","7.1 %","17.0 %",".125",".270",".241",".300",".366",".300","85","3.8","-101.5","11.2","10.1"
"1993","Rockies","2245","6073","142","758","704","146","6.4 %","15.5 %",".149",".304",".273",".323",".422",".328","84","-7.1","-124.8","10.9","10.0"
"2017","Rangers","2268","6122","237","799","756","113","8.9 %","24.4 %",".186",".291",".244",".320",".430",".321","91","6.3","-58.5","-51.2","10.0"
"2007","Diamondbacks","2305","6101","171","712","687","109","8.7 %","18.2 %",".163",".282",".250",".321",".413",".320","82","8.8","-132.9","34.1","10.0"
"1995","Padres","2016","5527","116","668","618","124","8.1 %","15.8 %",".125",".307",".272",".334",".397",".324","95","3.4","-30.4","-53.0","10.0"
"2015","Braves","2340","6034","100","573","548","69","7.8 %","18.3 %",".108",".297",".251",".314",".359",".296","84","-2.7","-115.5","23.0","10.0"
"1998","Marlins","2202","6228","114","667","621","115","8.4 %","18.0 %",".124",".291",".248",".317",".373",".306","85","-1.8","-119.1","24.9","10.0"
"2002","Brewers","2329","6083","139","627","597","94","8.2 %","18.5 %",".137",".294",".253",".320",".390",".312","86","-26.4","-131.8","33.0","9.9"
"2010","Orioles","2240","6109","133","613","577","76","6.9 %","17.3 %",".127",".296",".259",".316",".386",".310","87","-21.0","-111.8","-11.8","9.8"
"2004","Brewers","2255","6195","135","634","601","138","8.7 %","21.2 %",".139",".300",".248",".321",".387",".309","82","1.8","-144.7","36.7","9.8"
"2008","Giants","2382","6145","94","640","606","108","7.4 %","17.0 %",".120",".305",".262",".321",".382",".309","83","-15.4","-149.4","51.6","9.8"
"1999","Angels","1797","6132","158","711","673","71","8.3 %","16.7 %",".139",".286",".256",".322",".395",".316","80","-6.1","-170.9","52.6","9.8"
"2012","Rockies","2429","6183","166","758","716","100","7.3 %","19.6 %",".163",".321",".274",".330",".436",".331","90","2.8","-73.8","-19.3","9.8"
"2013","Mariners","2237","6172","188","624","597","49","8.6 %","21.9 %",".152",".279",".237",".306",".390",".307","95","-6.9","-41.1","-68.9","9.8"
"2019","Pirates","1535","3978","106","479","471","36","6.9 %","20.2 %",".159",".316",".268",".324",".427",".316","95","0.1","-24.6","-4.4","9.7"
"2017","Giants","2372","6137","128","639","612","76","7.6 %","19.6 %",".132",".294",".249",".309",".380",".296","82","2.6","-142.9","40.5","9.7"
"1997","Phillies","2163","6130","116","668","622","92","8.5 %","16.8 %",".130",".293",".255",".322",".385",".313","82","-5.3","-145.4","48.1","9.7"
"2016","Phillies","2348","5992","161","610","575","96","7.1 %","23.0 %",".144",".292",".240",".301",".385",".296","81","0.9","-137.5","45.4","9.6"
"1994","Pirates","1554","4301","80","466","435","53","8.1 %","16.9 %",".125",".298",".259",".322",".384",".311","82","-0.3","-99.8","52.8","9.6"
"2008","Diamondbacks","2280","6156","159","720","683","58","9.5 %","20.9 %",".164",".299",".251",".327",".415",".324","88","12.1","-83.9","-16.1","9.6"
"2002","Rockies","2393","6165","152","778","726","103","8.1 %","16.9 %",".149",".311",".274",".337",".423",".331","82","-0.4","-138.4","34.1","9.6"
"1994","Rangers","1156","4531","124","613","582","82","9.6 %","16.1 %",".157",".313",".280",".353",".436",".345","100","1.1","2.3","-56.5","9.6"
"2003","Expos","2275","6116","144","711","682","100","8.5 %","16.2 %",".143",".290",".258",".326",".401",".316","85","-4.6","-124.7","21.3","9.6"
"2003","Brewers","2293","6270","196","714","685","99","8.7 %","19.5 %",".163",".294",".256",".329",".419",".325","93","-27.1","-81.9","-26.6","9.6"
"1990","Cubs","2232","6149","136","690","649","151","6.6 %","14.1 %",".129",".288",".263",".314",".392",".314","87","8.2","-86.3","-38.7","9.6"
"1992","Mets","2308","6061","93","599","564","129","9.4 %","15.8 %",".107",".268",".235",".310",".342",".298","86","4.4","-90.6","-11.0","9.6"
"2016","Braves","2390","6192","122","649","615","75","8.1 %","20.0 %",".130",".305",".255",".321",".384",".304","86","-6.1","-110.8","11.2","9.5"
"2015","Rockies","2436","6071","186","737","702","97","6.4 %","21.1 %",".167",".313",".265",".315",".432",".321","87","4.7","-91.9","-6.9","9.4"
"2019","Rangers","1452","4002","150","551","523","80","8.8 %","26.1 %",".192",".309",".250",".322",".442",".322","93","10.4","-24.2","-20.9","9.3"
"2001","Reds","2338","6222","176","735","690","103","7.5 %","18.8 %",".157",".301",".262",".324",".419",".321","88","-3.1","-100.2","-7.2","9.3"
"2001","Orioles","1839","6151","136","687","663","133","8.4 %","16.1 %",".131",".278",".248",".319",".380",".306","88","3.3","-91.5","-26.5","9.3"
"2011","Indians","2287","6142","154","704","671","89","8.0 %","20.7 %",".146",".297",".250",".317",".396",".314","99","0.4","-8.5","-108.8","9.2"
"2013","Phillies","2310","6014","140","610","578","73","6.9 %","20.0 %",".135",".293",".248",".306",".384",".303","89","-7.4","-81.9","-12.9","9.2"
"2012","Mariners","2236","6057","149","619","584","104","7.7 %","20.8 %",".135",".276",".234",".296",".369",".291","87","0.1","-89.6","-29.8","9.1"
"2015","Phillies","2321","6053","130","626","586","88","6.4 %","21.0 %",".133",".299",".249",".303",".382",".298","86","-1.9","-100.3","-3.2","8.9"
"2019","Royals","1436","3960","101","455","433","91","7.7 %","22.7 %",".154",".302",".248",".312",".402",".304","87","0.7","-66.2","17.1","8.8"
"2009","White Sox","2241","6132","184","724","695","113","8.7 %","16.7 %",".153",".285",".258",".329",".411",".326","91","-13.0","-84.0","-45.8","8.6"
"2015","White Sox","2265","6070","136","622","595","68","6.7 %","20.3 %",".130",".296",".250",".306",".380",".300","89","-15.2","-94.3","-22.8","8.6"
"1998","Athletics","1908","6283","149","804","755","131","10.1 %","17.9 %",".140",".296",".257",".338",".397",".327","94","5.7","-45.6","-83.0","8.5"
"2012","Indians","2339","6195","136","667","635","110","9.0 %","17.5 %",".131",".288",".251",".324",".381",".310","97","-13.6","-37.7","-92.8","8.4"
"2000","Expos","2328","6153","178","738","705","58","7.7 %","17.0 %",".165",".299",".266",".326",".432",".327","87","-9.8","-116.7","1.2","8.3"
"2008","Nationals","2397","6192","117","641","608","81","8.6 %","17.7 %",".122",".292",".251",".323",".373",".310","84","-16.8","-145.4","30.9","8.3"
"2018","White Sox","2348","6071","182","656","639","98","7.0 %","26.3 %",".160",".304",".241",".302",".401",".304","92","-7.2","-66.7","-53.4","8.3"
"1991","Angels","1626","6050","115","653","607","94","7.4 %","15.3 %",".118",".287",".255",".314",".374",".311","91","-3.5","-71.0","-44.0","8.2"
"1998","Angels","1884","6280","147","787","739","93","8.1 %","16.4 %",".144",".308",".272",".335",".415",".330","94","-1.1","-46.2","-85.9","8.2"
"1997","Tigers","1846","6190","176","784","743","161","9.3 %","18.8 %",".157",".296",".258",".332",".415",".329","93","1.6","-53.2","-80.9","8.0"
"1994","Royals","1144","4391","100","574","538","140","8.6 %","15.9 %",".150",".302",".269",".335",".419",".330","92","0.7","-43.0","-24.3","8.0"
"2008","Rockies","2310","6312","160","747","714","141","9.0 %","19.2 %",".152",".308",".263",".336",".415",".330","88","15.2","-80.7","-40.3","8.0"
"2018","Padres","2380","6059","162","617","583","95","7.8 %","25.1 %",".145",".294",".235",".297",".380",".294","84","-5.7","-122.1","8.9","8.0"
"1994","Red Sox","1202","4446","120","552","523","81","9.1 %","16.3 %",".157",".293",".263",".334",".421",".329","89","-0.4","-64.8","-5.7","8.0"
"1994","Angels","1223","4443","120","543","518","65","9.0 %","16.1 %",".145",".294",".264",".334",".409",".327","91","-10.7","-65.6","-5.7","7.9"
"2017","Padres","2342","5954","189","604","576","89","7.7 %","25.2 %",".160",".287",".234",".299",".393",".298","82","6.7","-132.0","16.6","7.8"
"2004","Pirates","2330","6115","142","680","648","63","6.8 %","17.4 %",".141",".298",".260",".321",".401",".314","85","-8.6","-128.7","2.6","7.8"
"2003","Diamondbacks","2319","6261","152","717","696","76","8.5 %","16.1 %",".153",".295",".263",".330",".417",".323","86","-10.8","-119.9","-6.9","7.7"
"2006","Pirates","2325","6218","141","691","656","68","7.4 %","19.3 %",".134",".310",".263",".327",".397",".315","86","-2.2","-115.0","-13.0","7.7"
"2019","Reds","1537","3795","138","452","438","47","7.7 %","23.5 %",".178",".290",".245",".314",".422",".311","88","-9.3","-68.3","24.8","7.7"
"1994","Blue Jays","1162","4462","115","566","534","79","8.7 %","15.5 %",".155",".297",".269",".336",".424",".331","94","4.5","-30.2","-42.5","7.6"
"2008","Royals","2250","6118","120","691","650","79","6.4 %","16.4 %",".128",".307",".269",".320",".397",".315","87","-9.5","-109.1","-27.7","7.6"
"1999","Expos","2385","6151","163","718","680","70","7.1 %","15.3 %",".162",".292",".265",".323",".427",".326","86","-9.0","-125.4","5.4","7.6"
"1992","Royals","1691","6084","75","610","568","131","7.2 %","12.2 %",".108",".282",".256",".315",".364",".309","88","-2.4","-86.1","-35.0","7.6"
"2018","Tigers","2323","6029","135","630","597","70","7.1 %","22.2 %",".138",".293",".241",".300",".380",".295","84","6.4","-107.5","-18.4","7.5"
"2011","Athletics","2229","6104","114","645","612","117","8.3 %","17.9 %",".125",".283",".244",".311",".369",".301","89","-6.5","-82.2","-50.0","7.5"
"2000","Devil Rays","1887","6206","162","733","692","90","9.0 %","16.5 %",".142",".287",".257",".329",".399",".321","83","-2.4","-141.8","-2.5","7.4"
"1998","Royals","2001","6191","134","714","686","135","7.7 %","15.9 %",".136",".295",".263",".324",".399",".319","85","5.2","-115.8","-23.4","7.3"
"1994","Phillies","1515","4436","80","521","484","67","8.9 %","16.0 %",".128",".299",".262",".332",".390",".318","87","3.0","-69.5","-3.9","7.3"
"2002","Royals","2248","6206","140","737","695","140","8.4 %","14.8 %",".143",".282",".256",".323",".398",".316","85","10.9","-104.1","-35.1","7.2"
"2008","Mariners","2296","6176","124","671","631","90","6.8 %","14.4 %",".124",".294",".265",".318",".389",".310","90","-8.9","-86.1","-57.0","7.2"
"1994","Mets","1496","4348","117","506","477","25","7.7 %","18.6 %",".144",".285",".250",".316",".394",".310","86","-6.3","-85.9","13.5","7.2"
"2008","Pirates","2340","6278","153","735","705","57","7.6 %","16.5 %",".145",".290",".258",".320",".403",".317","89","0.1","-89.2","-40.4","7.1"
"1995","Pirates","2018","5501","125","629","587","84","8.3 %","17.7 %",".137",".298",".259",".323",".396",".317","86","-8.5","-106.9","-9.3","6.9"
"1999","Devil Rays","1833","6272","145","772","728","73","8.7 %","16.6 %",".137",".312",".274",".343",".411",".333","92","-7.5","-75.0","-71.2","6.8"
"1993","Marlins","2128","6127","94","581","542","117","8.1 %","17.2 %",".099",".289",".248",".314",".346",".298","79","1.5","-161.8","13.1","6.7"
"1993","Angels","1706","6089","114","684","644","169","9.3 %","15.3 %",".120",".293",".260",".331",".380",".319","92","-6.5","-66.5","-59.6","6.7"
"2001","Pirates","2199","6027","161","657","618","93","7.7 %","18.4 %",".146",".281",".247",".313",".393",".306","80","-13.3","-167.4","38.4","6.7"
"2019","Giants","1546","3953","109","455","441","28","8.0 %","23.2 %",".159",".284",".235",".301",".395",".296","83","-5.2","-94.6","35.3","6.7"
"2011","Pirates","2444","6064","107","610","580","108","8.1 %","21.6 %",".123",".301",".244",".309",".368",".299","87","-15.2","-103.1","-17.6","6.6"
"1997","Pirates","2211","6201","129","725","686","160","7.8 %","18.7 %",".142",".308",".262",".329",".404",".324","89","10.9","-78.3","-51.4","6.5"
"2018","Giants","2412","6113","133","603","573","77","7.3 %","24.0 %",".129",".299",".239",".300",".368",".290","82","-2.9","-140.9","10.9","6.5"
"1996","Royals","1753","6229","123","746","689","195","8.5 %","15.1 %",".132",".299",".267",".332",".398",".322","83","-0.8","-148.3","-19.7","6.4"
"2001","Devil Rays","1750","6104","121","672","645","115","7.5 %","18.3 %",".130",".303",".258",".320",".388",".309","86","0.1","-105.1","-41.0","6.4"
"1997","Blue Jays","1834","6109","147","654","627","134","8.0 %","18.6 %",".146",".280",".244",".310",".389",".308","81","5.6","-146.0","-4.2","6.3"
"1994","Rockies","1604","4493","125","573","540","91","8.4 %","16.9 %",".165",".308",".274",".337",".439",".337","87","-5.1","-81.3","-5.8","6.2"
"1992","Dodgers","2296","6038","72","548","499","142","8.3 %","14.9 %",".090",".284",".248",".313",".339",".298","90","-3.0","-72.2","-65.0","6.1"
"2019","Rockies","1528","4049","135","565","544","38","7.6 %","24.4 %",".189",".327",".266",".325",".455",".327","85","0.4","-80.6","10.4","5.9"
"2019","White Sox","1433","3727","116","423","403","49","6.4 %","25.7 %",".150",".317",".253",".308",".403",".303","89","6.3","-45.1","-26.0","5.9"
"2012","Astros","2421","6014","146","583","545","105","7.7 %","22.7 %",".135",".288",".236",".302",".371",".296","82","-16.9","-144.4","18.6","5.8"
"2004","Expos","2289","6138","151","635","605","109","8.1 %","15.1 %",".143",".273",".249",".313",".392",".306","77","-0.7","-184.6","36.0","5.7"
"1998","Pirates","2162","6113","107","650","613","159","6.4 %","17.3 %",".121",".294",".254",".311",".374",".304","78","9.6","-160.3","24.9","5.6"
"1995","Blue Jays","1477","5650","140","642","613","75","8.7 %","16.0 %",".149",".290",".260",".328",".409",".326","91","6.7","-60.1","-75.1","5.5"
"2010","Astros","2358","6005","108","611","577","100","6.9 %","17.1 %",".115",".285",".247",".303",".362",".295","79","-6.4","-156.6","30.7","5.5"
"1993","Twins","1742","6209","121","693","642","83","7.9 %","13.7 %",".121",".291",".264",".327",".385",".319","90","-6.6","-79.2","-63.3","5.5"
"2003","Mets","2361","6008","124","642","607","70","8.1 %","17.2 %",".128",".282",".247",".314",".374",".302","80","-4.4","-155.7","10.6","5.1"
"1991","Indians","1720","6070","79","576","546","84","7.4 %","14.6 %",".096",".288",".254",".313",".350",".301","85","-6.3","-115.8","-32.8","4.7"
"2013","White Sox","2279","6077","148","598","574","105","6.8 %","19.9 %",".129",".291",".249",".302",".378",".299","85","-12.7","-117.5","-37.3","4.6"
"2011","Twins","2269","6020","103","619","572","92","7.3 %","17.4 %",".113",".288",".247",".306",".360",".296","82","-6.5","-133.4","-25.6","4.4"
"2011","Mariners","2090","5972","109","556","534","125","7.3 %","21.4 %",".115",".283",".233",".292",".348",".283","80","11.9","-124.4","-37.6","3.9"
"2019","Blue Jays","1476","3904","143","447","427","30","8.2 %","24.3 %",".174",".273",".230",".297",".404",".298","84","-2.6","-80.4","-17.5","3.9"
"2000","Twins","1972","6283","116","748","711","90","8.8 %","16.3 %",".137",".309",".270",".337",".407",".327","86","-1.9","-121.8","-64.5","3.3"
"2016","Athletics","2343","6022","169","653","634","50","7.3 %","19.0 %",".149",".280",".246",".304",".395",".302","89","-22.2","-100.5","-74.8","3.3"
"1995","Tigers","1566","5535","159","654","619","73","10.0 %","17.8 %",".157",".278",".247",".327",".404",".324","89","-2.4","-82.7","-72.6","3.2"
"1992","Red Sox","1741","6187","84","599","567","44","9.6 %","14.0 %",".101",".276",".246",".321",".347",".306","83","-11.2","-126.6","-40.1","3.0"
"2007","White Sox","2257","6103","190","693","667","78","8.7 %","18.8 %",".158",".278",".246",".318",".404",".316","86","-15.7","-125.7","-55.7","2.9"
"2013","Marlins","2244","6021","95","513","485","78","7.2 %","20.5 %",".104",".280",".231",".293",".335",".279","74","-5.2","-178.9","25.5","2.9"
"2005","Royals","2259","6086","126","701","653","53","7.0 %","16.6 %",".134",".298",".263",".320",".396",".313","87","6.3","-91.5","-87.3","2.7"
"2009","Royals","2247","6103","144","686","657","88","7.5 %","17.9 %",".146",".298",".259",".318",".405",".318","88","-18.9","-110.3","-78.8","2.6"
"1994","Padres","1609","4519","92","479","445","79","7.1 %","16.9 %",".126",".316",".275",".330",".401",".319","90","-0.4","-61.1","-63.2","2.4"
"2010","Mariners","2104","5989","101","513","485","142","7.7 %","19.8 %",".104",".282",".236",".298",".339",".285","79","-1.0","-148.8","-45.4","2.1"
"2013","Astros","2266","6020","148","610","566","110","7.1 %","25.5 %",".136",".304",".240",".299",".375",".298","85","-8.9","-112.7","-63.7","2.1"
"1993","Padres","2316","6137","153","679","633","92","7.2 %","17.0 %",".137",".283",".252",".312",".389",".311","86","2.6","-103.5","-93.8","1.9"
"2019","Orioles","1480","3903","132","449","424","53","7.0 %","24.2 %",".165",".294",".243",".303",".408",".302","87","0.2","-66.7","-52.1","1.8"
"2018","Orioles","2313","6034","188","622","593","81","7.0 %","23.4 %",".152",".286",".239",".298",".391",".299","87","-9.6","-107.0","-74.8","1.8"
"1992","Angels","1783","5917","88","579","537","160","7.0 %","14.9 %",".094",".275",".243",".301",".338",".291","77","-8.0","-158.5","-8.9","1.8"
"2010","Pirates","2327","5974","126","587","570","87","7.8 %","20.2 %",".131",".288",".242",".304",".373",".300","84","-5.8","-119.0","-42.2","1.7"
"1999","Twins","1957","6124","105","686","643","118","8.2 %","16.0 %",".120",".301",".264",".328",".384",".315","79","-3.5","-179.4","-23.7","1.3"
"1999","Rockies","2282","6369","223","906","863","70","8.0 %","13.6 %",".184",".304",".288",".348",".472",".354","84","-5.3","-146.1","-45.2","1.3"
"2001","Expos","2165","6026","131","670","622","101","7.9 %","17.8 %",".143",".291",".253",".319",".396",".309","79","-2.2","-172.0","-14.2","1.0"
"2004","Royals","2169","6153","150","720","675","67","7.5 %","17.2 %",".139",".293",".259",".322",".397",".314","82","-9.3","-152.8","-47.4","1.0"
"2019","Marlins","1465","3740","81","360","349","28","6.3 %","24.4 %",".122",".298",".237",".294",".359",".281","75","-12.8","-135.8","23.2","0.8"
"1996","Tigers","1760","6203","204","783","741","87","8.8 %","20.4 %",".165",".294",".256",".323",".420",".325","86","-6.5","-130.6","-97.7","0.2"
"2004","Diamondbacks","2295","6114","135","615","582","53","7.2 %","16.7 %",".140",".286",".253",".310",".393",".305","74","-7.7","-212.2","2.3","-0.4"
"2002","Tigers","2096","5920","124","575","546","65","6.1 %","17.5 %",".132",".283",".248",".300",".379",".297","82","-9.4","-143.5","-68.1","-1.0"
"2003","Tigers","2278","6071","153","591","553","98","7.3 %","18.1 %",".135",".272",".240",".300",".375",".296","80","-6.5","-162.3","-59.2","-1.2"
"2019","Tigers","1441","3739","92","356","339","40","6.9 %","26.4 %",".150",".296",".232",".290",".381",".286","76","1.0","-115.4","-32.9","-1.6"
"1998","Twins","1838","6263","115","734","691","112","8.1 %","14.6 %",".123",".297",".266",".328",".389",".317","83","-1.2","-137.6","-122.9","-4.5"
