"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2014","Indians","2391","6222","142","669","644","104","8.1 %","19.1 %",".136",".296",".253",".317",".389",".313","98","9.9","-1.7","-64.6","14.2"
"2001","Red Sox","2035","6264","198","772","739","46","8.3 %","18.1 %",".173",".300",".266",".334",".439",".332","100","-6.3","-3.8","-67.4","14.2"
"2004","Rockies","2351","6333","202","833","795","44","9.0 %","18.6 %",".180",".314",".275",".345",".455",".344","93","-4.9","-64.7","-3.7","14.1"
"2007","Twins","2259","6161","118","718","671","112","8.3 %","13.6 %",".127",".291",".264",".330",".391",".317","91","2.6","-68.7","-0.4","14.1"
"2014","Astros","2229","6055","163","629","596","122","8.2 %","23.8 %",".141",".298",".242",".309",".383",".308","98","3.6","-8.1","-54.5","14.0"
"1990","Brewers","1732","6185","128","732","680","164","8.4 %","13.3 %",".128",".277",".256",".320",".384",".315","97","2.0","-16.2","-45.9","14.0"
"1999","Pirates","2250","6234","171","775","735","112","9.2 %","19.2 %",".160",".301",".259",".334",".419",".330","88","2.6","-102.9","45.7","14.0"
"1995","Athletics","1577","5617","169","730","694","112","10.1 %","16.2 %",".157",".289",".264",".341",".421",".337","101","0.9","8.1","-55.6","13.9"
"2017","Tigers","2336","6150","187","735","699","65","8.2 %","21.3 %",".166",".306",".258",".324",".424",".321","98","-19.8","-31.5","-40.5","13.9"
"2010","Cubs","2307","6140","149","685","658","55","7.8 %","20.1 %",".145",".304",".257",".320",".401",".318","90","-10.3","-81.7","33.1","13.9"
"1996","Angels","1772","6320","192","762","727","53","8.3 %","15.4 %",".155",".303",".276",".339",".431",".337","94","-8.5","-64.2","-27.8","13.9"
"2017","Orioles","2351","6140","232","743","713","32","6.4 %","23.0 %",".175",".306",".260",".312",".435",".318","97","-14.9","-41.6","-31.3","13.8"
"2003","Indians","2241","6188","158","699","660","86","7.5 %","17.2 %",".148",".286",".254",".316",".401",".313","90","-7.5","-83.9","10.1","13.8"
"2006","Cubs","2399","6147","166","716","677","121","6.4 %","15.1 %",".154",".294",".268",".319",".422",".320","84","-1.0","-128.9","65.3","13.7"
"1998","Rockies","2326","6277","183","826","791","67","7.5 %","15.1 %",".169",".321",".291",".347",".461",".351","87","-7.1","-110.3","52.2","13.7"
"2005","Mariners","2258","6095","130","699","657","102","7.6 %","16.2 %",".136",".289",".256",".317",".391",".309","90","7.1","-66.3","-3.2","13.7"
"2011","Marlins","2348","6232","149","625","596","95","8.7 %","20.0 %",".142",".291",".247",".318",".388",".311","92","2.1","-56.1","-3.3","13.7"
"2012","Blue Jays","2289","6094","198","716","677","123","7.8 %","20.5 %",".161",".281",".245",".309",".407",".311","92","2.5","-55.8","-21.5","13.6"
"1994","Marlins","1561","4387","94","468","451","65","8.0 %","17.0 %",".130",".305",".266",".330",".396",".320","90","1.7","-57.7","49.5","13.6"
