R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions,nameFull
649.0,611.0,63.0,0.2703089830161653,0.42746060978105177,0.0,1132.0,42.0,79.0,0,Aaron Hill
949.0,966.0,101.0,0.3114116339384957,0.531493145609485,0.0,0.0,0.0,0.0,1,Matt Holliday
755.0,1053.0,12.0,0.26529774127310063,0.5258726899383983,0.0,0.0,0.0,0.0,0,Ryan Howard
627.0,514.0,79.0,0.2773274917853231,0.4173055859802848,0.0,1235.0,0.0,0.0,0,Orlando Hudson
742.0,824.0,32.0,0.2825561954300576,0.476314322868289,0.0,0.0,323.0,0.0,0,Aubrey Huff
757.0,787.0,145.0,0.2719856744926383,0.4689614007162754,0.0,0.0,0.0,0.0,0,Torii Hunter
680.0,778.0,34.0,0.2876447876447876,0.4744744744744745,1.0,0.0,1.0,0.0,0,Raul Ibanez
1154.0,756.0,215.0,0.3144304624938715,0.4620035953587188,0.0,0.0,0.0,1505.0,1,Derek Jeter
607.0,516.0,83.0,0.25123849964614303,0.42368483132814333,0.0,842.0,88.0,1.0,0,Kelly Johnson
821.0,803.0,83.0,0.2787252368647717,0.4627045650301465,0.0,0.0,0.0,0.0,0,Adam Jones
951.0,1010.0,130.0,0.2675392670157068,0.506457242582897,0.0,0.0,0.0,0.0,0,Andruw Jones
1033.0,1039.0,118.0,0.3034028148939961,0.536433279885979,0.0,0.0,1104.0,45.0,1,Chipper Jones
730.0,748.0,182.0,0.2885316184351554,0.4885316184351554,0.0,0.0,0.0,0.0,0,Matt Kemp
598.0,555.0,101.0,0.29273084479371314,0.4228334424798079,0.0,1080.0,1.0,0.0,0,Howie Kendrick
569.0,470.0,156.0,0.2776166034367329,0.3909841553224727,0.0,1182.0,82.0,1.0,0,Adam Kennedy
942.0,704.0,197.0,0.2755491014703213,0.4469050644400073,0.0,1342.0,1.0,0.0,0,Ian Kinsler
748.0,895.0,5.0,0.2808152067411327,0.4959827552420145,0.0,0.0,28.0,0.0,0,Paul Konerko
696.0,823.0,12.0,0.2667065629363655,0.4783562736884102,0.0,0.0,0.0,0.0,0,Adam LaRoche
874.0,1001.0,110.0,0.29025386117521745,0.5045268950825492,0.0,0.0,0.0,0.0,0,Carlos Lee
753.0,734.0,92.0,0.2814923496122406,0.5030391951372878,0.0,0.0,0.0,0.0,0,Derrek Lee
541.0,656.0,6.0,0.2691764705882353,0.4604705882352941,0.0,0.0,0.0,0.0,0,Adam Lind
498.0,635.0,38.0,0.28504273504273503,0.4106837606837607,0.0,0.0,0.0,0.0,0,James Loney
780.0,892.0,51.0,0.26990825688073394,0.4825688073394496,0.0,0.0,1345.0,1.0,0,Evan Longoria
516.0,498.0,7.0,0.26378958120531154,0.41624106230847796,0.0,410.0,141.0,482.0,0,Jed Lowrie
659.0,452.0,193.0,0.2711826514643416,0.39145987033310975,0.0,114.0,16.0,1078.0,0,Julio Lugo
822.0,711.0,63.0,0.2907622412922766,0.4287396937573616,0.0,0.0,0.0,0.0,0,Nick Markakis
626.0,617.0,97.0,0.2569241161900473,0.4050889439315469,1238.0,3.0,18.0,0.0,0,Russell Martin
651.0,819.0,4.0,0.3031739488870569,0.4647568013190437,847.0,0.0,0.0,0.0,1,Victor Martinez
649.0,753.0,13.0,0.285024154589372,0.4669887278582931,0.0,0.0,0.0,0.0,0,Hideki Matsui
730.0,672.0,45.0,0.318874312314854,0.4568345323741007,888.0,0.0,0.0,0.0,1,Joe Mauer
521.0,736.0,23.0,0.2719137218907756,0.4658100045892611,1154.0,0.0,0.0,0.0,0,Brian McCann
897.0,790.0,185.0,0.2870403427347376,0.4807211710103534,0.0,0.0,0.0,0.0,0,Andrew McCutchen
411.0,546.0,40.0,0.2840336134453781,0.4038415366146457,1195.0,0.0,0.0,0.0,0,Yadier Molina
549.0,705.0,6.0,0.26808699511762096,0.46049711495783396,0.0,0.0,1.0,0.0,0,Kendrys Morales
706.0,645.0,88.0,0.2797527047913447,0.4433649812320601,0.0,29.0,690.0,194.0,0,Melvin Mora
661.0,847.0,5.0,0.2783898305084746,0.4843220338983051,0.0,0.0,0.0,0.0,0,Justin Morneau
644.0,641.0,67.0,0.29934695597219296,0.4583947756477775,0.0,834.0,87.0,0.0,0,Daniel Murphy
545.0,577.0,33.0,0.25348189415041783,0.4821727019498607,539.0,0.0,0.0,0.0,0,Mike Napoli
849.0,981.0,86.0,0.3116038998279488,0.5215064041292296,0.0,0.0,0.0,0.0,1,Magglio Ordonez
801.0,963.0,10.0,0.2878123629986848,0.5578693555458133,0.0,0.0,0.0,0.0,0,David Ortiz
572.0,401.0,172.0,0.2799899824693213,0.4084648134234911,0.0,0.0,0.0,0.0,0,Angel Pagan
869.0,655.0,134.0,0.3026339691189827,0.446866485013624,0.0,1360.0,0.0,0.0,0,Dustin Pedroia
694.0,776.0,27.0,0.2336655592469546,0.4719822812846069,0.0,0.0,0.0,0.0,0,Carlos Pena
760.0,786.0,107.0,0.28389988793425475,0.4703025775121405,0.0,0.0,0.0,0.0,0,Hunter Pence
674.0,696.0,13.0,0.2676747839748625,0.425962293794187,0.0,0.0,211.0,1145.0,0,Jhonny Peralta
770.0,750.0,161.0,0.27189682966147233,0.4255776464266524,0.0,1416.0,0.0,4.0,0,Brandon Phillips
804.0,387.0,459.0,0.3005602747153443,0.3721308512560998,0.0,0.0,0.0,0.0,0,Juan Pierre
559.0,590.0,12.0,0.2838123415046492,0.4237109044801353,1266.0,0.0,0.0,0.0,0,A. J. Pierzynski
734.0,496.0,62.0,0.30675873613726723,0.4176605984515589,0.0,849.0,321.0,94.0,0,Placido Polanco
652.0,771.0,14.0,0.2706101537028412,0.4732184443409409,1217.0,0.0,0.0,0.0,0,Jorge Posada
534.0,614.0,20.0,0.3076923076923077,0.4695565021297921,838.0,0.0,0.0,0.0,0,Buster Posey
617.0,571.0,40.0,0.29097605893186,0.4200941272764477,0.0,252.0,719.0,16.0,0,Martin Prado
1186.0,1230.0,75.0,0.3314146171289029,0.6244549101691959,0.0,1.0,96.0,1.0,1,Albert Pujols
684.0,874.0,13.0,0.28483982860640683,0.5047949398082024,0.0,0.0,1282.0,0.0,0,Aramis Ramirez
881.0,707.0,267.0,0.29609929078014185,0.4944838455476753,0.0,0.0,99.0,1075.0,1,Hanley Ramirez
954.0,1135.0,31.0,0.3183195314077964,0.6008887093516462,0.0,0.0,0.0,0.0,1,Manny Ramirez
514.0,467.0,34.0,0.2405313736574336,0.4335782928208027,0.0,0.0,0.0,0.0,0,Colby Rasmus
493.0,466.0,54.0,0.2645778938207137,0.4374818682912678,0.0,0.0,0.0,0.0,0,Josh Reddick
834.0,635.0,246.0,0.28764652840396754,0.3985572587917042,0.0,0.0,0.0,1432.0,1,Edgar Renteria
861.0,502.0,414.0,0.2919324577861163,0.4401500938086304,0.0,43.0,0.0,1216.0,1,Jose Reyes
673.0,714.0,60.0,0.23408444541675785,0.451761102603369,0.0,6.0,773.0,0.0,0,Mark Reynolds
791.0,708.0,227.0,0.2782389029231325,0.442619992782389,0.0,0.0,0.0,0.0,0,Alex Rios
772.0,486.0,262.0,0.2830965616635783,0.42104179534692204,0.0,1132.0,0.0,53.0,0,Brian Roberts
1117.0,1094.0,202.0,0.3063583815028902,0.5773121387283237,0.0,0.0,155.0,1252.0,1,Alex Rodriguez
715.0,704.0,65.0,0.303578859758635,0.4802330420307949,1220.0,0.0,0.0,0.0,1,Ivan Rodriguez
889.0,936.0,99.0,0.28557073954983925,0.5178858520900321,0.0,0.0,1352.0,0.0,0,Scott Rolen
988.0,657.0,340.0,0.2720423212568131,0.4357165758255852,0.0,1.0,0.0,1467.0,1,Jimmy Rollins
579.0,515.0,65.0,0.27603264902300273,0.44249319812020776,0.0,0.0,0.0,0.0,0,Aaron Rowand
386.0,394.0,24.0,0.26606875934230195,0.3919282511210762,1014.0,0.0,2.0,0.0,0,Carlos Ruiz
466.0,557.0,11.0,0.27922561429635145,0.4432861752295855,3.0,3.0,985.0,0.0,0,Pablo Sandoval
623.0,472.0,53.0,0.2759650735294117,0.3913143382352941,0.0,430.0,110.0,677.0,0,Marco Scutaro
630.0,481.0,137.0,0.26719917547023964,0.464055655758825,0.0,0.0,0.0,0.0,0,Grady Sizemore
921.0,835.0,260.0,0.2776542998803214,0.5098307402974868,0.0,765.0,1.0,0.0,0,Alfonso Soriano
710.0,432.0,176.0,0.2830844753528329,0.3961955410104316,0.0,0.0,0.0,0.0,0,Denard Span
1047.0,558.0,383.0,0.3310222746717805,0.4298569110488273,0.0,0.0,0.0,0.0,1,Ichiro Suzuki
432.0,519.0,19.0,0.2555476020042949,0.3719875924600334,1152.0,0.0,0.0,0.0,0,Kurt Suzuki
