"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Rays","2345","6223","199","803","765","194","10.3 %","19.7 %",".177",".303",".263",".343",".439",".342","109","21.6","90.5","40.2","35.0"
"Yankees","2369","6449","244","915","881","111","10.3 %","15.7 %",".194",".306",".283",".362",".478",".365","117","0.2","137.5","-21.4","34.4"
"Phillies","2285","6338","224","820","788","119","9.3 %","18.2 %",".189",".286",".258",".334",".447",".339","103","20.0","42.5","80.3","32.0"
"Angels","2246","6305","173","883","841","148","8.7 %","16.7 %",".156",".322",".285",".350",".441",".346","108","8.6","75.5","-4.1","29.4"
"Dodgers","2352","6385","145","780","739","116","9.5 %","16.7 %",".141",".309",".270",".346",".412",".332","102","4.0","18.7","56.2","27.4"
"Brewers","2321","6296","182","785","757","68","9.7 %","19.6 %",".164",".305",".263",".341",".426",".336","103","-9.6","10.2","43.2","25.0"
"Red Sox","2317","6344","212","872","822","126","10.4 %","17.7 %",".184",".301",".270",".352",".454",".351","106","-7.7","40.7","-21.2","24.3"
"Cardinals","2358","6168","160","730","694","75","8.6 %","16.9 %",".152",".296",".263",".332",".415",".325","98","13.4","-1.6","52.1","24.3"
"Braves","2335","6335","149","735","700","58","9.5 %","16.8 %",".142",".300",".263",".339",".405",".327","97","-20.2","-44.2","76.4","23.0"
"Twins","2315","6346","172","817","770","85","9.2 %","16.1 %",".155",".306",".274",".345",".429",".338","104","15.3","42.9","-44.4","22.2"
"Reds","2314","6187","158","673","637","96","8.6 %","18.2 %",".147",".282",".247",".318",".394",".313","84","5.2","-118.5","123.3","19.8"
"Blue Jays","2202","6362","209","798","766","73","8.6 %","16.2 %",".174",".290",".266",".333",".440",".337","101","12.2","21.5","-58.3","18.8"
"Rockies","2352","6241","190","804","760","106","10.6 %","20.5 %",".180",".305",".261",".343",".441",".341","96","5.3","-29.7","21.6","18.7"
"Marlins","2394","6312","159","772","727","75","9.0 %","19.4 %",".148",".316",".268",".340",".416",".332","97","4.5","-16.7","5.6","18.6"
"Rangers","2158","6127","224","784","748","149","7.7 %","20.5 %",".185",".296",".260",".320",".445",".331","92","9.1","-49.8","17.5","18.4"
"Diamondbacks","2301","6269","173","720","686","102","9.1 %","20.7 %",".165",".299",".253",".324",".418",".324","89","13.1","-75.3","54.8","17.5"
"Giants","2304","6057","122","657","612","78","6.5 %","19.1 %",".132",".302",".257",".309",".389",".305","83","10.0","-118.1","99.6","17.0"
"Mariners","2150","6113","160","640","613","89","6.9 %","17.9 %",".144",".293",".258",".314",".402",".313","89","-4.5","-87.0","34.6","16.3"
"Tigers","2350","6234","183","743","718","72","8.7 %","17.9 %",".156",".294",".260",".331",".416",".328","94","0.4","-48.5","-21.0","15.0"
"Nationals","2401","6273","156","710","685","73","9.8 %","19.3 %",".148",".302",".258",".337",".406",".327","96","-5.7","-37.9","-8.1","15.0"
"Athletics","2306","6247","135","759","723","133","8.4 %","16.7 %",".135",".298",".262",".328",".397",".320","94","12.8","-38.0","-34.0","14.8"
"Padres","2348","6179","141","638","605","82","9.5 %","19.1 %",".138",".284",".242",".321",".381",".309","93","-10.4","-67.1","19.8","14.5"
"Indians","2188","6320","161","773","730","84","9.2 %","19.2 %",".153",".308",".264",".339",".417",".333","100","-1.1","-0.7","-77.0","14.5"
"Cubs","2343","6244","161","707","678","56","9.5 %","19.0 %",".152",".296",".255",".332",".407",".324","90","-13.2","-89.3","39.5","14.5"
"Mets","2377","6159","95","671","631","122","8.5 %","15.1 %",".124",".307",".270",".335",".394",".320","94","-5.4","-48.2","-14.3","13.0"
"Orioles","2281","6233","160","741","708","76","8.3 %","16.3 %",".147",".300",".268",".332",".415",".328","93","-20.1","-74.3","-23.2","12.2"
"Astros","2340","6040","142","643","616","113","7.4 %","16.4 %",".140",".293",".260",".319",".400",".315","89","-18.0","-99.0","32.3","12.2"
"Pirates","2195","6058","125","636","612","90","8.2 %","18.9 %",".135",".296",".252",".318",".387",".310","86","-6.2","-113.0","32.9","10.9"
"White Sox","2241","6132","184","724","695","113","8.7 %","16.7 %",".153",".285",".258",".329",".411",".326","91","-13.0","-84.0","-45.8","8.6"
"Royals","2247","6103","144","686","657","88","7.5 %","17.9 %",".146",".298",".259",".318",".405",".318","88","-18.9","-110.3","-78.8","2.6"
