"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","1454","3956","170","548","531","34","9.9 %","20.7 %",".210",".296",".264",".345",".473",".342","113","3.6","74.0","42.2","23.8"
"Astros","1391","3900","161","520","507","47","9.8 %","18.1 %",".204",".294",".271",".346",".475",".345","120","-5.2","93.2","-9.8","21.5"
"Twins","1356","3819","181","542","520","24","7.8 %","20.4 %",".224",".299",".270",".336",".494",".347","115","-6.2","64.8","11.1","20.5"
"Red Sox","1447","3988","148","566","536","52","9.6 %","20.7 %",".193",".317",".274",".347",".466",".342","109","1.3","47.3","2.0","18.5"
"Cubs","1401","3759","155","501","482","25","10.0 %","23.6 %",".201",".302",".256",".337",".458",".334","105","-3.0","19.6","29.9","16.7"
"Diamondbacks","1424","3899","141","514","490","54","8.0 %","21.4 %",".191",".300",".259",".325",".450",".325","97","8.2","-7.9","49.8","16.4"
"Angels","1462","3868","142","511","487","40","9.4 %","18.1 %",".180",".285",".259",".335",".439",".328","108","-3.7","33.6","-3.4","16.2"
"Braves","1482","3898","154","527","510","49","9.3 %","22.3 %",".195",".305",".261",".336",".456",".333","102","2.6","13.3","26.8","16.2"
"Yankees","1358","3729","162","554","528","37","9.7 %","23.1 %",".199",".312",".267",".342",".465",".340","111","-1.7","50.9","-18.4","16.0"
"Athletics","1432","3853","162","520","487","32","8.6 %","19.9 %",".200",".277",".251",".324",".451",".327","106","-2.5","25.6","1.4","15.8"
"Brewers","1483","3894","168","487","473","68","9.6 %","24.3 %",".203",".294",".249",".328",".452",".327","99","4.4","-0.4","32.7","15.4"
"Rays","1458","3917","131","462","437","63","8.3 %","24.3 %",".175",".309",".253",".324",".428",".319","101","6.6","11.9","4.5","15.0"
"Phillies","1439","3796","124","476","454","39","9.5 %","22.7 %",".175",".291",".244",".323",".419",".314","92","2.7","-39.3","43.5","12.4"
"Padres","1430","3653","152","434","420","47","7.9 %","26.1 %",".189",".294",".244",".308",".432",".312","93","-6.6","-43.0","43.4","11.6"
"Mariners","1423","3893","166","500","486","69","9.4 %","25.0 %",".201",".285",".241",".318",".443",".321","105","5.8","28.9","-50.3","11.3"
"Mets","1467","3817","139","464","447","38","8.1 %","22.8 %",".177",".302",".255",".325",".432",".321","101","-11.0","-3.5","-4.5","11.3"
"Nationals","1384","3716","131","482","459","63","8.8 %","21.9 %",".179",".300",".256",".330",".435",".324","96","1.4","-20.8","9.1","10.6"
"Cardinals","1426","3664","119","439","413","61","8.8 %","22.3 %",".159",".288",".244",".318",".402",".308","89","6.6","-47.1","26.8","9.6"
"Indians","1375","3633","128","444","415","67","9.4 %","22.1 %",".176",".288",".247",".322",".422",".315","92","7.2","-30.9","1.1","9.6"
"Pirates","1440","3740","103","456","448","36","6.8 %","20.1 %",".162",".317",".269",".325",".431",".318","96","1.1","-19.9","-5.4","9.4"
"Rangers","1374","3774","140","519","491","79","9.0 %","26.3 %",".192",".310",".250",".323",".442",".323","94","10.8","-20.7","-20.1","9.0"
"Royals","1367","3754","96","437","416","91","7.6 %","22.8 %",".156",".305",".250",".313",".407",".306","88","0.9","-57.4","16.5","8.9"
"Giants","1461","3744","105","439","426","27","8.1 %","23.1 %",".161",".285",".237",".303",".397",".297","83","-5.3","-88.0","33.4","6.5"
"Reds","1459","3599","130","425","411","44","7.8 %","23.2 %",".176",".286",".242",".312",".418",".309","86","-9.4","-75.5","24.4","6.4"
"White Sox","1357","3521","110","406","386","45","6.5 %","25.4 %",".151",".321",".257",".312",".408",".307","91","5.6","-33.8","-25.7","6.3"
"Rockies","1445","3810","128","534","514","34","7.4 %","24.4 %",".189",".326",".265",".324",".455",".326","84","0.7","-81.7","10.2","5.1"
"Blue Jays","1404","3736","139","438","418","30","8.2 %","24.3 %",".176",".277",".234",".301",".410",".302","87","-2.1","-66.0","-18.8","4.6"
"Marlins","1401","3576","77","349","338","28","6.5 %","24.2 %",".122",".302",".240",".298",".362",".284","77","-12.7","-123.7","23.6","1.6"
"Orioles","1387","3647","118","413","388","45","7.0 %","23.9 %",".162",".292",".242",".302",".404",".300","85","-0.8","-70.5","-48.7","1.0"
"Tigers","1370","3540","87","346","331","38","7.0 %","26.2 %",".151",".298",".234",".292",".385",".288","77","0.7","-104.6","-31.9","-1.1"
