"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"J.A. Happ","Yankees","8","5","0","19","19","100.0","7.56","2.25","1.89",".292","76.3 %","41.7 %","17.1 %","4.86","5.12","4.81","1.1","7410"
"Brett Anderson","Athletics","9","5","0","20","20","115.1","4.45","2.73","1.09",".260","75.9 %","53.4 %","13.7 %","3.82","4.83","4.99","1.1","8223"
"Reynaldo Lopez","White Sox","5","8","0","20","20","111.0","8.19","3.32","1.86",".319","68.4 %","33.5 %","14.6 %","5.76","5.32","5.41","1.0","16400"
"Julio Teheran","Braves","5","6","0","21","21","112.1","8.17","4.17","1.04",".261","77.5 %","40.1 %","10.7 %","3.61","4.57","5.21","1.0","6797"
"Trevor Richards","Marlins","3","11","0","19","19","104.0","8.05","4.15","1.21",".285","77.3 %","35.8 %","10.9 %","4.24","4.72","5.39","1.0","19309"
"Jakob Junis","Royals","6","8","0","21","21","119.1","8.67","3.24","1.58",".303","71.5 %","45.1 %","16.8 %","4.83","4.82","4.59","1.0","13619"
"Sandy Alcantara","Marlins","4","9","0","19","19","112.1","6.41","4.17","1.04",".289","72.1 %","45.5 %","10.9 %","4.25","4.83","5.41","0.9","18684"
"Jake Arrieta","Phillies","8","7","0","20","20","118.2","6.90","3.34","1.37",".309","76.1 %","52.4 %","19.4 %","4.40","4.95","4.53","0.8","4153"
"Jeff Samardzija","Giants","7","8","0","20","20","110.1","7.83","2.37","1.47",".263","71.3 %","36.1 %","12.9 %","4.08","4.56","4.92","0.8","3254"
"Yu Darvish","Cubs","3","4","0","20","20","109.0","10.40","4.13","1.65",".252","75.7 %","46.5 %","22.7 %","4.46","4.90","4.10","0.7","13074"
"Ivan Nova","White Sox","4","9","0","20","20","110.2","5.86","2.52","1.79",".339","69.3 %","46.4 %","19.6 %","5.86","5.46","4.87","0.5","1994"
"Yusei Kikuchi","Mariners","4","6","0","20","20","102.1","6.68","3.25","1.76",".294","68.0 %","44.7 %","17.2 %","5.01","5.48","5.18","0.4","20633"
"Dakota Hudson","Cardinals","9","4","1","20","19","103.1","6.62","4.09","1.31",".297","75.7 %","59.1 %","23.1 %","3.57","5.15","4.50","0.4","19206"
"Aaron Sanchez","Blue Jays","3","14","0","21","21","102.0","7.32","5.21","1.32",".333","66.5 %","47.4 %","16.0 %","6.26","5.51","5.41","0.3","11490"
