"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Tigers","93","69","39","590","162","1462.2","8.79","2.84","0.79",".306","73.7 %","45.4 %","9.2 %","3.61","3.27","3.43","26.1"
"Dodgers","92","70","46","666","162","1450.1","8.02","2.85","0.79",".291","75.5 %","47.1 %","9.9 %","3.25","3.45","3.52","21.5"
"Rangers","91","72","46","638","163","1463.1","8.05","3.06","0.97",".293","75.5 %","42.8 %","10.7 %","3.63","3.77","3.75","21.5"
"Mets","74","88","40","697","162","1476.2","7.37","2.79","0.93",".295","72.9 %","44.5 %","10.0 %","3.78","3.79","3.86","18.3"
"Royals","86","76","52","589","162","1448.1","7.51","2.91","0.96",".290","76.9 %","41.8 %","10.0 %","3.45","3.83","3.90","17.6"
"Braves","96","66","53","628","162","1450.1","7.65","2.54","0.79",".288","77.0 %","45.8 %","9.4 %","3.18","3.44","3.58","17.4"
"Reds","90","72","43","623","162","1473.2","7.91","2.66","1.04",".273","77.5 %","44.1 %","11.5 %","3.38","3.81","3.68","17.3"
"Cardinals","97","65","44","645","162","1459.2","7.73","2.78","0.69",".297","74.5 %","48.5 %","8.5 %","3.43","3.39","3.63","17.3"
"Rockies","74","88","35","665","162","1436.0","6.67","3.24","0.85",".314","70.2 %","47.4 %","10.0 %","4.44","3.96","4.02","17.2"
"Nationals","86","76","47","602","162","1445.2","7.69","2.52","0.88",".291","73.7 %","45.0 %","9.8 %","3.59","3.55","3.64","17.0"
"Athletics","96","66","46","609","162","1452.0","7.33","2.65","1.01",".276","74.8 %","39.5 %","9.2 %","3.56","3.83","4.05","16.6"
"Pirates","94","68","55","627","162","1470.2","7.72","3.15","0.62",".285","75.0 %","52.5 %","8.9 %","3.27","3.42","3.58","16.6"
"Indians","92","70","38","702","162","1441.1","8.61","3.46","0.92",".302","74.2 %","44.5 %","10.7 %","3.82","3.73","3.71","16.4"
"White Sox","63","99","40","632","162","1455.0","7.73","3.15","1.13",".295","73.1 %","43.3 %","11.5 %","4.00","4.13","3.98","16.2"
"Mariners","71","91","43","610","162","1465.0","7.97","2.94","1.07",".303","70.7 %","45.3 %","11.8 %","4.32","3.89","3.72","16.0"
"Red Sox","97","65","33","612","162","1454.0","8.01","3.24","0.97",".294","74.5 %","42.9 %","10.2 %","3.79","3.84","3.89","15.4"
"Marlins","62","100","36","633","162","1460.0","7.26","3.24","0.75",".292","73.2 %","45.3 %","8.4 %","3.71","3.69","3.96","15.0"
"Yankees","85","77","49","590","162","1447.1","7.67","2.72","1.06",".302","74.6 %","44.0 %","11.5 %","3.94","3.89","3.76","14.4"
"Rays","92","71","42","648","163","1464.0","8.05","2.96","0.94",".284","73.6 %","44.6 %","10.6 %","3.74","3.71","3.71","14.3"
"Phillies","73","89","32","628","162","1436.1","7.51","3.17","0.95",".306","70.5 %","44.5 %","10.1 %","4.34","3.94","4.00","13.4"
"Twins","66","96","40","673","162","1450.1","6.11","2.84","1.04",".309","70.2 %","43.7 %","10.2 %","4.55","4.23","4.28","11.8"
"Orioles","85","77","57","635","162","1453.0","7.24","2.93","1.25",".291","74.6 %","42.2 %","12.9 %","4.20","4.33","3.99","11.4"
"Cubs","66","96","39","651","162","1448.0","7.36","3.36","0.99",".279","72.8 %","42.4 %","10.3 %","4.00","4.10","4.13","11.1"
"Angels","78","84","41","658","162","1457.2","7.41","3.29","1.03",".300","72.3 %","42.1 %","10.4 %","4.24","4.08","4.10","10.0"
"Blue Jays","74","88","39","649","162","1452.0","7.49","3.10","1.21",".293","72.3 %","44.0 %","12.3 %","4.26","4.30","4.04","9.5"
"Diamondbacks","81","81","38","689","162","1495.0","7.33","2.92","1.06",".292","74.5 %","46.0 %","12.2 %","3.92","4.04","3.83","8.5"
"Padres","76","86","40","650","162","1455.0","7.24","3.25","0.96",".292","72.5 %","45.8 %","10.8 %","3.98","4.00","3.96","7.8"
"Giants","76","86","41","686","162","1447.1","7.81","3.24","0.90",".295","72.1 %","42.1 %","9.9 %","4.00","3.80","3.89","6.9"
"Brewers","74","88","40","663","162","1442.2","7.02","2.91","1.09",".286","73.5 %","44.4 %","11.9 %","3.84","4.12","3.94","5.6"
"Astros","51","111","32","610","162","1440.0","6.78","3.85","1.19",".303","70.0 %","43.9 %","11.8 %","4.79","4.67","4.48","2.1"
