"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"White Sox","88","74","43","569","162","1446.1","7.15","3.05","0.85",".305","71.5 %","44.9 %","8.4 %","4.09","3.80","3.94","25.0"
"Rockies","83","79","35","675","162","1442.0","7.70","3.28","0.87",".302","70.8 %","46.5 %","9.6 %","4.14","3.83","3.80","21.4"
"Rangers","90","72","46","643","162","1455.1","7.30","3.41","1.00",".280","73.6 %","41.5 %","9.3 %","3.93","4.17","4.19","19.9"
"Giants","92","70","57","638","162","1461.0","8.20","3.56","0.83",".282","77.0 %","42.0 %","8.0 %","3.36","3.74","3.94","18.4"
"Tigers","81","81","32","578","162","1444.1","6.58","3.35","0.88",".296","70.6 %","43.8 %","8.3 %","4.29","4.14","4.31","17.7"
"Twins","94","68","40","627","162","1452.2","6.49","2.37","0.96",".299","73.4 %","44.7 %","9.2 %","3.95","3.91","3.93","17.6"
"Phillies","97","65","40","613","162","1456.1","7.31","2.57","1.04",".289","75.3 %","46.5 %","10.6 %","3.68","3.93","3.75","16.7"
"Yankees","95","67","39","592","162","1442.1","7.20","3.37","1.12",".281","74.0 %","43.9 %","10.7 %","4.06","4.34","4.15","16.6"
"Padres","90","72","49","661","162","1456.1","8.00","3.20","0.86",".286","76.7 %","46.0 %","9.3 %","3.41","3.66","3.67","16.6"
"Blue Jays","85","77","45","617","162","1440.2","7.40","3.37","0.94",".297","71.2 %","45.7 %","9.5 %","4.23","4.04","4.03","16.5"
"Dodgers","80","82","41","637","162","1441.2","7.95","3.36","0.84",".287","70.9 %","44.6 %","8.6 %","4.01","3.76","3.87","16.4"
"Rays","96","66","51","653","162","1453.2","7.36","2.96","1.08",".278","75.2 %","41.3 %","9.9 %","3.78","4.09","4.00","16.4"
"Red Sox","89","73","44","605","162","1456.2","7.46","3.58","0.94",".292","70.9 %","43.6 %","9.0 %","4.19","4.08","4.13","16.3"
"Mariners","61","101","38","520","162","1438.0","6.09","2.83","0.98",".279","71.4 %","43.4 %","9.0 %","3.95","4.17","4.23","16.2"
"Marlins","80","82","39","643","162","1438.1","7.31","3.44","0.84",".301","71.3 %","43.6 %","8.1 %","4.09","3.92","4.11","16.1"
"Astros","76","86","45","669","162","1439.1","7.57","3.43","0.88",".305","71.0 %","44.3 %","8.8 %","4.09","3.89","3.97","15.2"
"Braves","91","71","41","652","162","1439.1","7.76","3.16","0.79",".290","73.4 %","49.9 %","9.3 %","3.57","3.65","3.65","15.1"
"Mets","79","83","36","653","162","1453.0","6.85","3.38","0.84",".296","74.9 %","44.8 %","8.4 %","3.73","4.00","4.14","14.0"
"Athletics","81","81","38","585","162","1431.2","6.73","3.22","0.96",".274","75.1 %","46.1 %","9.7 %","3.58","4.13","4.08","13.7"
"Cubs","75","87","40","644","162","1436.2","7.94","3.79","0.96",".298","70.4 %","43.3 %","9.5 %","4.24","4.11","4.08","13.3"
"Angels","80","82","39","572","162","1449.1","7.02","3.51","0.92",".292","72.9 %","42.6 %","8.5 %","4.04","4.11","4.24","13.3"
"Reds","91","71","43","664","162","1453.0","7.00","3.25","0.98",".288","73.6 %","42.9 %","9.4 %","4.02","4.12","4.13","12.3"
"Cardinals","86","76","32","617","162","1453.2","6.77","2.95","0.82",".292","74.0 %","49.5 %","9.2 %","3.57","3.85","3.87","11.3"
"Indians","69","93","34","632","162","1433.0","6.07","3.59","0.92",".297","71.4 %","47.9 %","9.3 %","4.30","4.40","4.41","10.7"
"Orioles","66","96","35","616","162","1436.1","6.31","3.26","1.17",".294","71.3 %","42.1 %","10.2 %","4.59","4.57","4.44","9.9"
"Nationals","69","93","37","656","162","1435.0","6.70","3.21","0.95",".297","70.8 %","44.5 %","9.4 %","4.13","4.12","4.13","9.7"
"Royals","67","95","44","603","162","1436.2","6.48","3.45","1.10",".304","68.6 %","42.5 %","9.8 %","4.97","4.48","4.41","9.3"
"Brewers","77","85","35","657","162","1439.0","7.87","3.64","1.08",".308","70.0 %","41.8 %","10.3 %","4.59","4.21","4.07","6.5"
"Pirates","57","105","31","679","162","1411.2","6.54","3.43","1.06",".311","67.4 %","44.0 %","10.0 %","5.00","4.45","4.35","5.8"
"Diamondbacks","65","97","35","616","162","1432.0","6.72","3.44","1.32",".296","70.1 %","41.8 %","12.0 %","4.81","4.76","4.35","2.0"
