"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Nationals","95","67","46","670","162","1459.2","9.10","2.89","0.96",".288","75.0 %","43.3 %","10.9 %","3.52","3.58","3.82","23.3"
"Mets","87","75","55","700","162","1447.0","8.68","2.73","0.95",".308","75.6 %","44.2 %","11.1 %","3.58","3.57","3.78","21.0"
"Dodgers","91","71","47","768","162","1453.0","9.35","2.87","1.02",".288","73.8 %","42.8 %","11.7 %","3.70","3.61","3.75","20.4"
"Red Sox","93","69","43","625","162","1439.2","8.51","3.06","1.10",".293","72.9 %","41.5 %","11.4 %","4.00","4.00","4.20","18.8"
"Cubs","103","58","38","665","162","1459.2","8.88","3.05","1.01",".255","77.5 %","46.9 %","13.1 %","3.15","3.77","3.74","18.8"
"Indians","94","67","37","665","161","1445.0","8.71","2.87","1.16",".289","73.4 %","46.7 %","13.7 %","3.86","3.91","3.80","18.6"
"Yankees","84","78","48","645","162","1428.1","8.78","2.80","1.35",".292","74.2 %","46.9 %","15.5 %","4.16","4.20","3.86","18.3"
"Tigers","86","75","47","637","161","1428.0","7.76","2.91","1.15",".300","72.2 %","44.5 %","11.7 %","4.24","4.16","4.31","18.0"
"White Sox","78","84","43","643","162","1446.2","7.90","3.24","1.15",".298","74.0 %","43.1 %","12.0 %","4.12","4.27","4.38","17.9"
"Astros","84","78","44","662","162","1468.0","8.56","2.78","1.11",".306","73.4 %","45.2 %","12.6 %","4.06","3.85","3.87","17.7"
"Blue Jays","89","73","43","649","162","1459.1","8.10","2.84","1.13",".282","74.5 %","46.6 %","13.0 %","3.79","4.04","4.02","17.4"
"Cardinals","86","76","38","643","162","1448.1","8.02","2.95","0.99",".304","71.8 %","49.5 %","12.8 %","4.08","3.88","3.88","16.4"
"Orioles","89","73","54","605","162","1432.0","7.84","3.43","1.15",".299","73.8 %","44.8 %","12.6 %","4.22","4.31","4.34","15.4"
"Marlins","79","82","55","720","161","1435.0","8.65","3.73","0.95",".303","74.0 %","43.0 %","10.9 %","4.05","3.97","4.21","15.2"
"Giants","87","75","43","737","162","1460.1","8.07","2.71","0.97",".287","74.3 %","45.3 %","10.8 %","3.69","3.76","4.01","14.5"
"Mariners","86","76","49","638","162","1457.0","8.14","2.84","1.32",".292","74.9 %","43.4 %","13.8 %","4.00","4.30","4.17","14.5"
"Phillies","71","91","43","667","162","1437.0","8.14","2.92","1.33",".304","70.5 %","41.0 %","13.8 %","4.64","4.34","4.21","13.7"
"Rockies","75","87","37","695","162","1429.1","7.70","3.44","1.14",".317","68.0 %","49.1 %","14.1 %","4.92","4.38","4.23","13.5"
"Athletics","69","93","42","654","162","1433.1","7.46","2.91","1.16",".299","70.7 %","46.2 %","12.5 %","4.51","4.24","4.28","13.4"
"Rangers","95","67","56","641","162","1443.0","7.20","3.33","1.25",".292","72.8 %","45.5 %","13.5 %","4.38","4.58","4.49","12.8"
"Royals","81","81","41","634","162","1440.0","8.04","3.23","1.29",".298","75.4 %","44.3 %","13.4 %","4.21","4.42","4.33","11.9"
"Brewers","73","89","46","675","162","1434.1","7.37","3.34","1.12",".300","73.1 %","46.0 %","12.4 %","4.10","4.37","4.42","11.2"
"Rays","68","94","42","647","162","1426.1","8.56","3.10","1.33",".297","74.2 %","41.0 %","13.1 %","4.20","4.26","4.22","10.9"
"Twins","59","103","26","695","162","1443.0","7.43","2.99","1.38",".319","68.3 %","43.0 %","13.9 %","5.09","4.57","4.42","10.6"
"Diamondbacks","69","93","31","737","162","1451.1","8.17","3.74","1.25",".320","68.7 %","46.0 %","14.1 %","5.09","4.50","4.34","9.8"
"Braves","68","93","39","748","161","1447.2","7.63","3.40","1.10",".293","70.2 %","44.7 %","11.7 %","4.51","4.32","4.48","9.3"
"Pirates","78","83","51","687","162","1450.2","7.64","3.31","1.12",".306","72.5 %","46.9 %","13.0 %","4.22","4.30","4.28","9.0"
"Padres","68","94","35","672","162","1440.0","7.64","3.56","1.14",".296","71.3 %","46.4 %","12.6 %","4.44","4.40","4.42","8.8"
"Angels","74","88","29","689","162","1421.1","7.19","3.15","1.32",".301","75.0 %","40.8 %","12.5 %","4.28","4.62","4.66","7.6"
"Reds","68","94","28","646","162","1442.0","7.75","3.97","1.61",".290","72.8 %","41.6 %","15.9 %","4.91","5.24","4.79","0.9"
