"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rockies","92","70","45","646","162","1438.1","7.22","3.30","0.88",".299","71.3 %","47.3 %","9.9 %","4.24","3.96","3.99","21.2"
"White Sox","79","83","36","577","162","1439.2","7.00","3.17","1.06",".294","71.7 %","44.3 %","10.3 %","4.16","4.21","4.19","20.2"
"Giants","88","74","41","619","162","1446.0","8.10","3.63","0.87",".279","75.6 %","43.0 %","9.1 %","3.55","3.85","3.99","19.1"
"Yankees","103","59","51","623","162","1450.0","7.82","3.56","1.12",".290","71.9 %","42.3 %","11.1 %","4.28","4.32","4.17","18.8"
"Braves","86","76","38","650","162","1462.2","7.58","3.26","0.73",".299","73.8 %","46.4 %","8.1 %","3.57","3.66","3.91","18.7"
"Red Sox","95","67","41","625","162","1436.2","7.71","3.32","1.05",".309","73.0 %","40.9 %","9.4 %","4.35","4.14","4.25","18.6"
"Dodgers","95","67","44","688","162","1473.1","7.77","3.57","0.78",".275","74.9 %","43.7 %","8.1 %","3.41","3.80","4.07","18.5"
"Cubs","83","78","40","641","161","1445.1","7.92","3.65","1.00",".285","74.4 %","42.8 %","10.0 %","3.84","4.11","4.14","18.4"
"Mariners","85","77","49","572","162","1452.2","6.46","3.31","1.07",".272","73.4 %","41.2 %","9.7 %","3.87","4.39","4.46","18.1"
"Athletics","75","87","38","650","162","1447.1","6.99","3.25","0.97",".302","70.3 %","44.1 %","9.2 %","4.29","4.10","4.24","17.9"
"Cardinals","91","71","43","643","162","1440.2","6.55","2.87","0.77",".292","73.2 %","49.8 %","8.7 %","3.66","3.82","4.00","17.3"
"Tigers","86","77","42","602","163","1447.0","6.85","3.69","1.13",".293","73.2 %","42.7 %","10.6 %","4.34","4.53","4.45","17.1"
"Blue Jays","75","87","25","607","162","1451.0","7.33","3.42","1.12",".308","72.2 %","45.0 %","11.6 %","4.47","4.35","4.13","16.4"
"Rangers","87","75","45","598","162","1434.2","6.37","3.33","1.07",".288","72.1 %","42.5 %","10.0 %","4.38","4.49","4.50","15.6"
"Marlins","87","75","45","692","162","1446.1","7.77","3.74","1.00",".298","70.7 %","43.3 %","9.9 %","4.32","4.15","4.18","14.8"
"Royals","65","97","34","588","162","1426.0","7.28","3.79","1.05",".307","68.0 %","43.8 %","10.0 %","4.83","4.36","4.38","14.6"
"Angels","97","65","51","596","162","1445.0","6.61","3.26","1.12",".301","72.4 %","41.7 %","10.1 %","4.45","4.45","4.46","13.6"
"Diamondbacks","70","92","36","645","162","1447.2","7.20","3.26","1.04",".298","69.8 %","43.2 %","10.3 %","4.44","4.20","4.17","13.4"
"Twins","87","76","48","643","163","1453.0","6.52","2.89","1.15",".301","72.0 %","40.9 %","9.7 %","4.50","4.39","4.45","12.8"
"Rays","84","78","41","672","162","1427.1","7.09","3.25","1.15",".289","71.2 %","41.5 %","10.5 %","4.36","4.37","4.30","12.6"
"Phillies","93","69","44","621","162","1455.2","7.13","3.02","1.17",".296","75.0 %","40.8 %","11.0 %","4.16","4.36","4.22","12.2"
"Astros","74","88","39","659","162","1430.0","7.20","3.44","1.11",".311","72.0 %","45.6 %","11.5 %","4.54","4.35","4.16","12.1"
"Pirates","62","99","28","617","161","1418.1","5.83","3.57","0.96",".300","70.6 %","43.8 %","9.1 %","4.59","4.48","4.63","12.0"
"Padres","75","87","45","689","162","1450.2","7.36","3.74","1.04",".294","70.9 %","43.5 %","10.1 %","4.37","4.30","4.29","12.0"
"Mets","70","92","39","673","162","1426.0","6.51","3.89","1.00",".292","71.8 %","42.5 %","9.1 %","4.46","4.50","4.66","10.1"
"Indians","65","97","25","607","162","1434.0","6.19","3.75","1.15",".305","68.9 %","43.1 %","10.3 %","5.07","4.73","4.69","10.1"
"Reds","78","84","41","640","162","1458.1","6.60","3.56","1.16",".283","74.4 %","42.1 %","10.9 %","4.18","4.63","4.50","7.8"
"Orioles","64","98","31","646","162","1429.0","5.88","3.44","1.37",".307","70.3 %","41.7 %","11.6 %","5.16","5.03","4.78","6.3"
"Nationals","59","103","33","694","162","1424.1","5.76","3.97","1.09",".296","67.9 %","44.4 %","10.3 %","5.02","4.82","4.80","4.9"
"Brewers","80","82","44","674","162","1435.0","6.92","3.81","1.30",".295","71.9 %","42.6 %","12.0 %","4.84","4.84","4.54","4.8"
