"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Nationals","96","66","45","620","162","1470.2","7.88","2.15","0.67",".294","74.9 %","44.8 %","7.5 %","3.03","3.18","3.43","23.8"
"Cubs","73","89","37","699","162","1463.1","8.06","3.10","0.71",".304","69.6 %","44.0 %","8.0 %","3.92","3.51","3.70","20.4"
"Indians","85","77","40","735","162","1468.1","8.89","2.84","0.83",".309","73.2 %","46.7 %","10.0 %","3.57","3.42","3.36","20.2"
"Dodgers","94","68","47","658","162","1464.2","8.44","2.64","0.87",".292","74.0 %","47.8 %","10.8 %","3.40","3.48","3.33","19.9"
"Tigers","90","72","41","635","162","1454.0","7.70","2.86","0.79",".312","70.7 %","44.2 %","8.3 %","4.01","3.60","3.76","19.4"
"Braves","79","83","54","634","162","1455.0","8.05","2.92","0.75",".300","75.0 %","42.7 %","8.3 %","3.38","3.47","3.63","19.0"
"Athletics","88","74","31","603","162","1463.1","7.65","2.50","0.90",".272","75.9 %","45.6 %","10.0 %","3.22","3.67","3.60","17.4"
"Yankees","84","78","48","637","162","1453.0","8.49","2.47","1.02",".298","73.3 %","43.7 %","11.3 %","3.75","3.67","3.43","17.3"
"Royals","89","73","53","613","162","1450.2","7.25","2.73","0.79",".292","73.9 %","43.1 %","8.2 %","3.51","3.69","3.88","17.3"
"Phillies","73","89","40","623","162","1468.1","7.69","3.19","0.82",".295","72.2 %","46.4 %","9.4 %","3.81","3.81","3.83","16.8"
"Marlins","77","85","42","649","162","1457.2","7.35","2.83","0.70",".310","71.9 %","46.9 %","8.0 %","3.79","3.56","3.75","16.7"
"Cardinals","90","72","55","647","162","1448.2","7.59","2.92","0.76",".286","74.4 %","45.4 %","8.6 %","3.50","3.65","3.77","16.4"
"Twins","70","92","38","653","162","1435.0","6.47","2.56","0.92",".315","68.9 %","41.8 %","8.6 %","4.58","3.97","4.12","15.0"
"Rays","77","85","37","656","162","1463.2","8.84","2.96","0.89",".286","74.1 %","40.8 %","9.1 %","3.56","3.56","3.62","14.5"
"Angels","98","64","46","705","162","1482.2","8.15","3.06","0.76",".285","73.3 %","41.7 %","8.0 %","3.58","3.57","3.78","14.1"
"Blue Jays","83","79","45","611","162","1443.0","7.48","3.06","0.94",".294","72.7 %","42.9 %","9.4 %","4.00","3.97","3.99","13.9"
"Mariners","87","75","51","659","162","1452.0","8.16","2.87","0.85",".275","76.8 %","45.4 %","9.9 %","3.17","3.61","3.57","13.1"
"Reds","76","86","44","590","162","1446.0","8.03","3.16","1.01",".277","76.5 %","45.1 %","11.6 %","3.59","4.01","3.75","13.0"
"Mets","79","83","42","651","162","1463.2","8.01","3.13","0.87",".295","75.7 %","45.8 %","9.9 %","3.49","3.75","3.70","13.0"
"Orioles","96","66","53","641","162","1461.1","7.23","2.91","0.93",".280","77.0 %","43.8 %","9.8 %","3.44","3.96","3.92","12.9"
"Padres","77","85","41","643","162","1438.2","8.03","2.89","0.73",".289","74.9 %","45.2 %","8.6 %","3.27","3.46","3.57","12.0"
"White Sox","73","89","36","615","162","1441.0","7.20","3.48","0.87",".306","70.4 %","46.1 %","9.4 %","4.30","4.10","4.11","11.5"
"Brewers","82","80","45","640","162","1457.2","7.69","2.66","1.03",".289","74.0 %","45.6 %","11.3 %","3.67","3.89","3.65","11.1"
"Red Sox","71","91","36","655","162","1465.2","7.45","2.96","0.95",".301","71.8 %","43.6 %","9.9 %","4.01","3.93","3.87","10.5"
"Astros","70","92","31","600","162","1438.2","7.11","3.03","0.87",".299","70.3 %","46.4 %","9.6 %","4.14","3.93","3.91","9.5"
"Giants","88","74","46","637","162","1449.0","7.52","2.42","0.83",".282","72.7 %","45.9 %","9.4 %","3.50","3.58","3.59","9.2"
"Rangers","67","95","33","638","162","1426.1","7.00","3.19","1.01",".310","70.4 %","39.5 %","9.3 %","4.49","4.22","4.26","9.0"
"Pirates","88","74","48","614","162","1456.1","7.59","3.08","0.79",".290","74.2 %","50.5 %","10.3 %","3.49","3.80","3.71","7.9"
"Diamondbacks","64","98","35","650","162","1444.1","7.96","2.92","0.96",".312","70.3 %","46.1 %","11.1 %","4.26","3.83","3.63","7.7"
"Rockies","66","96","24","709","162","1431.0","6.75","3.34","1.09",".307","69.2 %","47.7 %","12.7 %","4.86","4.43","4.04","7.7"
