"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","56","45","23","448","101","917.1","9.61","2.86","1.02",".282","75.1 %","45.4 %","12.9 %","3.46","3.61","3.87","15.9"
"Nationals","52","45","25","413","97","857.2","9.62","3.15","1.14",".307","71.7 %","42.5 %","12.5 %","4.30","3.96","4.30","14.7"
"Dodgers","66","35","28","413","101","899.2","9.19","2.29","1.21",".266","73.7 %","46.0 %","14.6 %","3.40","3.82","3.88","14.2"
"Twins","59","38","28","400","97","878.0","8.65","2.79","1.23",".292","73.1 %","41.8 %","13.6 %","3.94","4.16","4.37","13.8"
"Yankees","64","33","33","409","97","866.2","9.41","2.97","1.46",".292","76.8 %","43.9 %","16.2 %","3.98","4.33","4.19","13.3"
"Indians","56","41","28","412","97","856.1","9.70","2.83","1.35",".288","75.5 %","40.3 %","14.4 %","3.86","4.10","4.21","13.1"
"Astros","63","37","25","392","100","899.1","10.12","2.84","1.51",".267","76.0 %","43.3 %","17.4 %","3.86","4.20","3.91","12.5"
"Athletics","57","42","24","435","100","903.2","7.62","3.10","1.14",".275","74.2 %","41.1 %","11.2 %","3.95","4.34","4.92","12.0"
"Reds","44","52","24","422","96","851.1","9.74","3.31","1.26",".293","75.6 %","45.0 %","16.0 %","3.91","4.10","4.00","11.9"
"Red Sox","54","45","20","451","99","899.1","10.03","3.37","1.32",".312","70.0 %","42.2 %","14.2 %","4.67","4.20","4.33","11.2"
"Diamondbacks","50","49","22","412","99","895.0","8.68","3.15","1.24",".293","72.8 %","43.1 %","14.1 %","4.26","4.25","4.38","10.1"
"Brewers","52","48","27","434","100","904.0","9.17","3.48","1.33",".304","71.5 %","42.0 %","15.1 %","4.60","4.39","4.39","9.4"
"Mets","45","53","23","392","98","879.1","9.23","3.32","1.36",".308","71.1 %","42.4 %","14.3 %","4.71","4.39","4.51","9.4"
"Rangers","50","48","21","394","98","875.0","8.57","3.54","1.51",".314","71.2 %","41.1 %","15.4 %","5.08","4.84","4.80","9.2"
"Cubs","54","44","24","421","98","874.2","8.60","3.33","1.27",".292","74.5 %","46.7 %","15.8 %","4.05","4.39","4.32","9.1"
"Rockies","46","52","18","442","98","883.0","8.09","3.39","1.50",".317","67.4 %","46.7 %","17.4 %","5.53","4.83","4.55","7.4"
"Padres","46","52","36","419","98","871.0","8.91","2.65","1.43",".296","69.8 %","43.9 %","15.5 %","4.63","4.33","4.28","7.1"
"Cardinals","50","47","29","416","97","859.2","8.72","3.38","1.36",".285","74.8 %","45.7 %","17.0 %","4.11","4.51","4.30","7.0"
"Tigers","29","65","22","436","95","838.1","8.12","3.25","1.56",".310","67.8 %","43.5 %","15.8 %","5.25","4.88","4.79","6.8"
"Marlins","36","60","20","400","96","856.1","8.71","3.72","1.24",".289","73.3 %","39.8 %","12.6 %","4.32","4.48","4.83","6.6"
"Pirates","46","51","23","408","97","862.0","8.98","3.73","1.41",".311","70.6 %","41.5 %","14.6 %","4.96","4.66","4.74","6.4"
"White Sox","44","51","23","413","95","822.1","8.11","3.81","1.49",".308","70.4 %","41.4 %","14.9 %","5.10","4.96","5.00","6.1"
"Braves","59","41","29","455","100","896.2","8.56","3.72","1.25",".300","72.6 %","45.0 %","14.6 %","4.31","4.54","4.61","5.9"
"Royals","37","63","22","399","100","877.2","7.92","3.67","1.30",".311","71.1 %","44.3 %","14.4 %","5.00","4.76","4.86","5.4"
"Giants","49","50","26","429","99","894.0","8.66","3.07","1.38",".296","71.9 %","42.2 %","15.3 %","4.44","4.47","4.46","5.2"
"Blue Jays","38","62","18","433","100","882.0","8.30","3.79","1.45",".306","71.7 %","44.3 %","15.6 %","4.89","4.86","4.80","5.1"
"Angels","51","49","23","439","100","883.1","9.01","3.62","1.62",".287","72.6 %","39.0 %","16.2 %","4.92","4.92","4.78","5.0"
"Phillies","51","48","25","426","99","880.0","8.44","3.41","1.73",".300","75.4 %","42.7 %","18.5 %","4.75","5.13","4.68","2.9"
"Mariners","40","61","20","425","101","894.2","7.76","3.34","1.72",".296","66.3 %","42.4 %","16.8 %","5.32","5.21","4.96","2.4"
"Orioles","30","67","18","396","97","856.0","7.77","3.60","1.99",".291","67.5 %","40.5 %","17.8 %","5.78","5.73","5.30","1.7"
