"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"White Sox","89","74","34","626","163","1457.2","7.08","2.84","0.96",".298","71.0 %","45.5 %","10.0 %","4.11","4.00","4.01","24.8"
"Diamondbacks","82","80","39","606","162","1434.2","7.71","2.83","0.92",".297","70.9 %","45.3 %","9.9 %","3.99","3.84","3.87","22.8"
"Blue Jays","86","76","44","583","162","1446.2","7.37","2.91","0.83",".284","74.8 %","46.6 %","9.3 %","3.49","3.81","3.92","22.1"
"Dodgers","84","78","35","623","162","1447.1","7.49","2.98","0.76",".295","72.6 %","49.6 %","9.3 %","3.68","3.67","3.77","20.2"
"Cubs","97","64","44","639","161","1450.2","7.84","3.40","0.99",".281","74.0 %","41.6 %","9.8 %","3.87","4.09","4.14","20.0"
"Rockies","74","88","36","647","162","1446.0","6.48","3.50","0.92",".309","68.6 %","46.8 %","10.0 %","4.77","4.30","4.32","19.5"
"Rays","97","65","52","610","162","1457.2","7.06","3.25","1.02",".277","74.0 %","40.8 %","9.3 %","3.82","4.22","4.35","18.7"
"Red Sox","95","67","47","628","162","1446.1","7.37","3.41","0.91",".289","72.6 %","43.5 %","9.2 %","4.01","4.09","4.23","18.0"
"Angels","100","62","66","545","162","1451.1","6.86","2.83","0.99",".296","73.0 %","44.3 %","9.8 %","4.00","4.12","4.17","17.2"
"Yankees","89","73","42","637","162","1441.2","7.12","3.05","0.89",".307","71.0 %","45.7 %","9.3 %","4.28","3.96","4.08","17.0"
"Royals","75","87","44","601","162","1445.2","6.75","3.21","0.99",".298","69.1 %","41.9 %","9.2 %","4.50","4.21","4.36","16.5"
"Marlins","84","77","36","672","161","1435.1","7.07","3.67","1.01",".290","70.6 %","41.7 %","9.8 %","4.44","4.37","4.42","15.3"
"Giants","72","90","41","640","162","1442.0","7.74","4.07","0.92",".300","71.4 %","39.2 %","8.8 %","4.38","4.24","4.44","15.2"
"Phillies","92","70","47","630","162","1449.2","6.71","3.31","0.99",".292","74.8 %","44.8 %","10.8 %","3.89","4.30","4.21","14.9"
"Athletics","75","86","33","602","161","1435.0","6.65","3.61","0.85",".287","72.2 %","41.2 %","8.0 %","4.01","4.19","4.53","14.7"
"Brewers","90","72","45","607","162","1455.2","6.86","3.26","1.08",".285","74.5 %","45.4 %","11.7 %","3.87","4.34","4.14","14.4"
"Indians","81","81","31","561","162","1437.0","6.18","2.78","1.06",".301","70.7 %","44.7 %","10.5 %","4.46","4.33","4.28","13.7"
"Twins","88","75","42","648","163","1459.0","6.14","2.50","1.13",".301","72.1 %","42.0 %","10.2 %","4.18","4.30","4.29","13.5"
"Mets","89","73","43","719","162","1464.1","7.26","3.63","1.00",".289","73.6 %","43.1 %","10.5 %","4.07","4.32","4.26","13.3"
"Padres","63","99","30","653","162","1458.1","6.79","3.46","1.02",".294","70.9 %","42.4 %","10.1 %","4.41","4.33","4.33","13.2"
"Astros","86","75","48","649","161","1425.1","6.91","3.11","1.24",".293","72.8 %","43.3 %","12.1 %","4.39","4.53","4.24","11.4"
"Mariners","61","101","36","631","162","1435.1","6.37","3.93","1.01",".307","70.7 %","44.7 %","9.8 %","4.73","4.59","4.64","9.9"
"Rangers","79","83","36","619","162","1442.0","6.01","3.90","1.10",".315","65.7 %","43.2 %","10.2 %","5.37","4.83","4.82","9.8"
"Pirates","67","95","34","659","162","1455.0","5.96","4.06","1.09",".311","69.5 %","44.0 %","10.8 %","5.10","4.84","4.74","9.5"
"Cardinals","86","76","42","668","162","1454.0","5.92","3.07","1.01",".295","72.9 %","45.3 %","10.3 %","4.20","4.40","4.37","8.8"
"Reds","74","88","34","669","162","1442.1","7.66","3.48","1.25",".312","72.5 %","42.7 %","12.7 %","4.55","4.54","4.18","8.5"
"Tigers","74","88","34","602","162","1445.0","6.17","4.01","1.07",".302","69.4 %","42.0 %","9.7 %","4.91","4.79","4.86","8.3"
"Nationals","59","102","28","678","161","1434.0","6.67","3.69","1.19",".296","70.1 %","42.4 %","11.6 %","4.66","4.71","4.49","8.1"
"Braves","72","90","26","707","162","1440.2","6.72","3.66","0.97",".293","69.7 %","48.3 %","11.4 %","4.47","4.35","4.20","7.5"
"Orioles","68","93","35","653","161","1422.0","5.84","4.35","1.16",".298","70.1 %","44.6 %","10.7 %","5.15","5.14","5.04","2.8"
