"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Tigers","88","74","40","582","162","1430.2","8.29","2.76","0.95",".307","72.7 %","43.4 %","10.5 %","3.77","3.63","3.74","24.6"
"Rangers","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5 %","43.9 %","11.6 %","4.02","3.90","3.86","22.4"
"Dodgers","86","76","40","668","162","1449.2","7.92","3.35","0.76",".283","74.8 %","45.5 %","8.9 %","3.35","3.64","3.93","21.7"
"Rays","90","72","50","634","162","1459.2","8.53","2.89","0.86",".277","75.5 %","47.9 %","10.7 %","3.19","3.51","3.59","20.4"
"Phillies","81","81","42","602","162","1451.1","8.59","2.54","1.10",".298","72.9 %","43.5 %","12.1 %","3.86","3.72","3.61","19.6"
"Athletics","94","68","47","624","162","1470.0","6.96","2.83","0.90",".279","75.4 %","41.7 %","9.1 %","3.50","3.89","4.20","19.4"
"Nationals","98","64","51","644","162","1468.1","8.12","3.05","0.79",".282","75.1 %","46.3 %","9.2 %","3.34","3.54","3.80","19.2"
"Reds","97","65","56","587","162","1453.0","7.73","2.64","0.94",".288","76.9 %","45.9 %","10.7 %","3.34","3.72","3.80","18.3"
"Mariners","75","87","43","613","162","1456.2","7.20","2.77","1.03",".282","74.2 %","42.9 %","10.6 %","3.76","4.00","4.09","17.6"
"White Sox","85","77","37","628","162","1445.2","7.76","3.13","1.16",".288","75.2 %","42.7 %","12.1 %","4.02","4.23","4.12","16.8"
"Yankees","95","67","51","647","162","1445.1","8.21","2.68","1.18",".296","75.1 %","44.9 %","13.0 %","3.85","3.98","3.75","16.5"
"Orioles","93","69","55","654","162","1483.0","7.14","2.92","1.12",".285","73.8 %","44.7 %","11.7 %","3.90","4.20","4.14","16.4"
"Cardinals","88","74","42","668","162","1462.2","7.49","2.68","0.82",".298","73.2 %","48.5 %","10.4 %","3.71","3.62","3.72","16.2"
"Royals","72","90","44","662","162","1451.1","7.30","3.36","1.01",".311","72.4 %","43.2 %","10.5 %","4.30","4.18","4.29","15.3"
"Diamondbacks","81","81","39","623","162","1433.2","7.53","2.62","0.97",".301","72.0 %","46.1 %","11.0 %","3.94","3.81","3.84","15.0"
"Brewers","83","79","44","674","162","1453.2","8.68","3.25","1.05",".313","72.1 %","43.8 %","12.1 %","4.22","3.82","3.73","14.1"
"Mets","74","88","36","667","162","1434.0","7.78","3.06","1.01",".290","71.1 %","42.6 %","10.5 %","4.09","3.93","4.04","13.8"
"Pirates","79","83","45","645","162","1433.1","7.48","3.08","0.96",".286","72.6 %","46.6 %","11.0 %","3.91","3.94","3.97","13.6"
"Marlins","69","93","38","645","162","1440.2","6.95","3.09","0.83",".300","70.3 %","45.0 %","9.2 %","4.10","3.89","4.17","13.5"
"Indians","68","94","43","656","162","1442.0","6.78","3.39","1.09",".300","67.6 %","45.9 %","11.4 %","4.79","4.40","4.39","12.6"
"Braves","94","68","47","622","162","1445.1","7.67","2.89","0.90",".284","75.4 %","47.2 %","10.8 %","3.42","3.74","3.80","11.4"
"Giants","94","68","53","688","162","1451.0","7.67","3.03","0.88",".289","73.6 %","46.0 %","9.9 %","3.68","3.78","3.95","10.6"
"Angels","89","73","38","606","162","1433.1","7.26","3.03","1.17",".277","72.6 %","43.9 %","12.1 %","4.02","4.26","4.15","10.4"
"Rockies","64","98","36","737","162","1422.0","7.24","3.58","1.25",".325","68.9 %","45.2 %","13.7 %","5.22","4.59","4.28","9.7"
"Astros","55","107","31","703","162","1423.1","7.40","3.41","1.09",".306","70.0 %","47.9 %","12.2 %","4.57","4.27","4.15","9.2"
"Blue Jays","73","89","29","657","162","1443.2","7.12","3.58","1.27",".291","72.0 %","46.5 %","14.1 %","4.64","4.66","4.30","7.6"
"Padres","76","86","43","691","162","1434.2","7.56","3.38","1.02",".284","71.8 %","47.5 %","11.7 %","4.01","4.11","4.05","7.2"
"Twins","66","96","35","661","162","1438.2","5.90","2.91","1.24",".294","68.9 %","45.7 %","12.7 %","4.77","4.66","4.46","6.4"
"Red Sox","69","93","35","651","162","1443.0","7.33","3.30","1.19",".296","69.6 %","46.4 %","13.2 %","4.72","4.41","4.16","6.4"
"Cubs","61","101","28","655","162","1413.2","7.18","3.65","1.11",".291","71.3 %","43.2 %","11.8 %","4.51","4.46","4.39","4.2"
