playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
blasido01,708.0,296.0,102.0,0.25963248369887376,0.32918395573997233,0.0,1245.0,4.0,49.0,0
blausje01,594.0,454.0,61.0,0.26810477657935283,0.4152542372881356,0.0,106.0,106.0,964.0,0
bluegos01,647.0,638.0,119.0,0.2768324607329843,0.37085514834205935,0.0,29.0,1246.0,27.0,0
bluelu01,981.0,590.0,121.0,0.288200769075086,0.40720501922687713,0.0,0.0,0.0,0.0,0
bochtbr01,538.0,555.0,37.0,0.28373466606088144,0.3968650613357565,0.0,0.0,0.0,0.0,0
boggswa01,1005.0,637.0,15.0,0.344797332865415,0.4711352868924373,0.0,0.0,1403.0,0.0,1
bollifr01,621.0,488.0,39.0,0.2554166666666667,0.37125,0.0,1304.0,0.0,0.0,0
bondsba01,999.0,864.0,340.0,0.2860557768924303,0.5406374501992032,0.0,0.0,0.0,0.0,0
bondsbo01,1009.0,806.0,364.0,0.2713667508113956,0.47980526505589616,0.0,0.0,0.0,0.0,0
bonilbo01,809.0,849.0,36.0,0.2835677133500289,0.4868040839915238,0.0,0.0,718.0,0.0,0
boonebo01,387.0,510.0,22.0,0.2588178058866456,0.3665774750668937,1224.0,0.0,7.0,0.0,0
boonebr01,694.0,769.0,63.0,0.2685018950728107,0.44165170556552963,0.0,1337.0,2.0,0.0,0
boonera01,611.0,702.0,19.0,0.27623670827554325,0.43411927877947293,0.0,1.0,507.0,460.0,0
bordimi01,568.0,506.0,77.0,0.2621963877932323,0.3597674901390907,0.0,105.0,1.0,1324.0,0
bottoji01,892.0,1070.0,47.0,0.32500484214603914,0.536509781134999,0.0,1.0,0.0,0.0,1
boudrlo01,747.0,651.0,49.0,0.29912315663611,0.4242726185731367,3.0,0.0,0.0,1337.0,1
bowala01,725.0,351.0,251.0,0.26238377007607777,0.3227387996618766,0.0,1.0,0.0,1481.0,0
boyerke01,917.0,926.0,95.0,0.2959130884635282,0.4847387480600103,0.0,0.0,1396.0,31.0,0
brandja01,533.0,482.0,44.0,0.2620348685922456,0.41399947957325006,0.0,1.0,25.0,0.0,0
brettge01,850.0,797.0,131.0,0.31725840136700206,0.5050313271311943,0.0,0.0,1296.0,8.0,1
briggjo02,473.0,390.0,49.0,0.2536434108527132,0.4186046511627907,0.0,0.0,0.0,0.0,0
brocklo01,1006.0,537.0,502.0,0.2915927061481362,0.4318218492819106,0.0,0.0,0.0,0.0,1
