R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions
821.0,395.0,261.0,0.2687392714094984,0.35742895288956705,0.0,0.0,0.0,0.0,0
731.0,482.0,108.0,0.2653061224489796,0.3688506981740065,0.0,631.0,297.0,254.0,0
661.0,704.0,31.0,0.2770592239618788,0.4964828681642841,0.0,0.0,0.0,0.0,0
902.0,1133.0,88.0,0.2969076076645798,0.5744640485676342,0.0,0.0,0.0,0.0,1
714.0,772.0,38.0,0.27387387387387385,0.4990990990990991,0.0,0.0,0.0,0.0,0
892.0,1070.0,47.0,0.32500484214603914,0.5365097811349989,0.0,1.0,0.0,0.0,1
773.0,921.0,65.0,0.2826281021246206,0.4775932869130513,0.0,1.0,8.0,0.0,0
709.0,547.0,147.0,0.29526813880126185,0.4166140904311251,0.0,0.0,0.0,0.0,0
714.0,658.0,60.0,0.2996412745304917,0.4365899978898502,0.0,29.0,1287.0,2.0,0
1009.0,806.0,364.0,0.2713667508113956,0.4798052650558962,0.0,0.0,0.0,0.0,0
644.0,466.0,96.0,0.24439150287869765,0.3698630136986301,0.0,53.0,65.0,1221.0,0
744.0,373.0,272.0,0.2867417885399185,0.4224406617118197,0.0,0.0,0.0,0.0,0
473.0,390.0,49.0,0.2536434108527132,0.4186046511627907,0.0,0.0,0.0,0.0,0
996.0,668.0,505.0,0.32910906298003073,0.4274193548387097,0.0,1403.0,0.0,29.0,1
538.0,640.0,16.0,0.3071621954221019,0.4715727295102141,17.0,0.0,1.0,0.0,0
582.0,463.0,40.0,0.3010650887573965,0.40828402366863903,0.0,589.0,171.0,315.0,0
777.0,762.0,81.0,0.25675675675675674,0.4774070945945946,0.0,0.0,0.0,0.0,0
624.0,520.0,19.0,0.2701547231270358,0.3845684039087948,0.0,0.0,0.0,1328.0,0
1046.0,618.0,100.0,0.29785346815682107,0.4190172077346106,0.0,0.0,0.0,0.0,0
659.0,733.0,19.0,0.27791814047498736,0.5373926225366347,0.0,0.0,0.0,0.0,0
438.0,340.0,38.0,0.2392694063926941,0.3409436834094368,0.0,195.0,792.0,32.0,0
806.0,859.0,95.0,0.2453742640874685,0.4802354920100925,0.0,0.0,0.0,0.0,0
872.0,699.0,268.0,0.3243100720689049,0.4296009843557743,0.0,0.0,0.0,0.0,1
805.0,546.0,234.0,0.27510580992689504,0.4193920738745671,0.0,0.0,0.0,0.0,0
707.0,607.0,30.0,0.2720541569705945,0.39242648614343134,0.0,0.0,0.0,0.0,0
712.0,839.0,20.0,0.2642457021440989,0.44562487927371053,0.0,0.0,1457.0,0.0,0
784.0,977.0,30.0,0.2978252114377769,0.5328231977446637,0.0,0.0,0.0,0.0,0
811.0,425.0,442.0,0.2609043617446979,0.3797519007603041,0.0,1264.0,1.0,16.0,0
760.0,946.0,68.0,0.2992861998640381,0.4770564242012237,0.0,0.0,0.0,0.0,0
715.0,836.0,68.0,0.30495269894268223,0.4696716750139121,0.0,0.0,164.0,0.0,0
868.0,910.0,55.0,0.2859094457455113,0.5304449648711944,0.0,0.0,0.0,0.0,0
491.0,538.0,17.0,0.2473404255319149,0.39990328820116056,0.0,92.0,1228.0,5.0,0
540.0,587.0,30.0,0.2626328345261332,0.4068531771849924,0.0,1180.0,9.0,41.0,0
722.0,547.0,89.0,0.2687677828846575,0.44539286495950975,0.0,0.0,0.0,0.0,0
843.0,857.0,70.0,0.3201225004503693,0.42550891731219603,0.0,15.0,268.0,1194.0,1
860.0,485.0,65.0,0.2978389682816313,0.3774834437086093,0.0,1423.0,0.0,0.0,0
575.0,489.0,171.0,0.2866464693544628,0.38941971568398975,0.0,0.0,0.0,0.0,0
808.0,912.0,14.0,0.311134789557805,0.4832179009057006,0.0,1.0,3.0,0.0,0
602.0,531.0,225.0,0.2785097682871422,0.4127669241253976,0.0,0.0,0.0,0.0,0
816.0,937.0,27.0,0.2813715093672676,0.4782608695652174,0.0,0.0,1526.0,16.0,0
506.0,521.0,106.0,0.2798258345428157,0.4798258345428157,0.0,0.0,0.0,0.0,0
728.0,722.0,248.0,0.2645962732919255,0.4356107660455487,0.0,0.0,0.0,0.0,0
639.0,697.0,34.0,0.2719116632160111,0.4688290775247297,0.0,0.0,0.0,1.0,0
631.0,683.0,65.0,0.2999775633834418,0.4509759928202827,0.0,1.0,33.0,1163.0,0
1045.0,1275.0,70.0,0.35490753911806544,0.5778805120910384,0.0,0.0,0.0,0.0,1
730.0,621.0,42.0,0.2872628726287263,0.4196928635953026,0.0,127.0,59.0,8.0,0
577.0,598.0,14.0,0.2750477099236641,0.4255725190839695,0.0,0.0,0.0,0.0,0
601.0,448.0,137.0,0.24792176039119804,0.3757946210268949,0.0,0.0,0.0,0.0,0
787.0,388.0,111.0,0.304575986565911,0.3895885810243493,0.0,0.0,0.0,0.0,0
870.0,537.0,215.0,0.2712574850299401,0.3920159680638722,0.0,3.0,1142.0,93.0,0
864.0,474.0,52.0,0.2565993788819876,0.3730590062111801,0.0,0.0,1394.0,0.0,0
496.0,554.0,21.0,0.25709939148073024,0.4226673427991887,1135.0,0.0,0.0,0.0,0
455.0,561.0,6.0,0.2450383699391373,0.43344800211696216,1137.0,0.0,0.0,0.0,0
754.0,848.0,37.0,0.27059283897476033,0.4689884562707885,0.0,9.0,164.0,0.0,0
700.0,821.0,79.0,0.2550009010632546,0.4310686610200036,0.0,1.0,1455.0,13.0,0
855.0,918.0,85.0,0.27027533245926205,0.4680651807454579,0.0,1414.0,0.0,2.0,0
682.0,772.0,53.0,0.2910550458715596,0.5006880733944954,0.0,0.0,0.0,0.0,0
874.0,545.0,268.0,0.28800940438871475,0.4255485893416928,427.0,895.0,0.0,0.0,1
569.0,541.0,117.0,0.2966920073967537,0.4051777275529073,0.0,0.0,0.0,0.0,0
449.0,389.0,48.0,0.2831026377644293,0.4071559153826064,0.0,0.0,0.0,0.0,0
796.0,723.0,36.0,0.3061432058584215,0.4471114727420667,0.0,0.0,0.0,0.0,0
634.0,535.0,64.0,0.2897830018083183,0.4385171790235081,0.0,1003.0,63.0,1.0,0
618.0,532.0,35.0,0.35275689223057644,0.5388471177944862,0.0,0.0,0.0,0.0,0
546.0,512.0,41.0,0.2753046505844317,0.41755782143745335,0.0,0.0,0.0,0.0,0
537.0,502.0,114.0,0.28567870485678704,0.4154420921544209,0.0,0.0,0.0,0.0,0
719.0,935.0,27.0,0.2707996406109613,0.4736747529200359,0.0,0.0,0.0,0.0,0
466.0,361.0,86.0,0.2979373567608862,0.4511077158135982,0.0,0.0,59.0,5.0,0
823.0,599.0,381.0,0.27690359920419605,0.4112859468258275,0.0,0.0,0.0,0.0,0
1032.0,992.0,55.0,0.283205268935236,0.5472008781558727,0.0,0.0,1461.0,0.0,1
694.0,516.0,68.0,0.2932862190812721,0.3957597173144876,0.0,1.0,2.0,0.0,0
561.0,750.0,15.0,0.2658164541135284,0.4881220305076269,0.0,0.0,0.0,0.0,0
992.0,586.0,85.0,0.308655853541031,0.4358439055725069,0.0,627.0,16.0,0.0,0
537.0,568.0,55.0,0.2895538930451649,0.4413965087281795,0.0,508.0,424.0,0.0,0
671.0,634.0,35.0,0.2834480122324159,0.40462538226299694,0.0,0.0,1206.0,37.0,0
538.0,538.0,104.0,0.2843199660513473,0.3823467006153193,0.0,41.0,18.0,0.0,0
938.0,1058.0,134.0,0.32845914823615424,0.5264119904953389,0.0,0.0,0.0,0.0,1
567.0,681.0,37.0,0.25735294117647056,0.4346638655462185,0.0,0.0,0.0,0.0,0
